GeneID,Cardamine,log2FC_Ox_WT_leaf_protoplast,Ox.leaf.vs.protoplast_q_value,log2FC_Col0_leaf_protoplast,Col0.leaf.vs.protoplast_q_value
AT1G50460,Chir01Ox_b39320.2,1.40790393,0.000564367,1.089344968,0.030013841
AT1G50520,Chir01Ox_b39400.2,1.027997649,0.013558502,NA,NA
AT1G50600,Chir01Ox_b39460.2,2.625628061,7.08e-13,NA,NA
AT1G50740,Chir01Ox_b39640.2,NA,NA,2.561801397,1.54e-05
AT1G50840,Chir01Ox_b39710.2,NA,NA,1.12831888,0.019096076
AT1G51410,Chir01Ox_b40280.2,NA,NA,1.466453236,0.000453288
AT1G51660,Chir01Ox_b40530.2,NA,NA,1.584698024,0.004200754
AT1G51700,Chir01Ox_b40560.2,1.236991366,0.000244132,NA,NA
AT1G51760,Chir01Ox_b40620.2,1.827998137,2.29e-08,NA,NA
AT1G51800,Chir01Ox_b40650.2,1.100410855,0.013669921,NA,NA
AT1G52280,Chir01Ox_b41100.2,NA,NA,1.402130675,0.008309998
AT1G52560,Chir01Ox_b41340.2,4.568981883,1.55e-29,NA,NA
AT1G52720,Chir01Ox_b41530.2,1.93800565,2.95e-08,NA,NA
AT1G52890,Chir01Ox_b41760.2,2.228873347,0.00025611,NA,NA
AT1G53170,Chir01Ox_b42050.2,2.100927992,5.09e-10,2.916301927,1.85e-06
AT1G53300,Chir01Ox_b42170.2,NA,NA,1.451770968,0.002589048
AT1G53350,Chir01Ox_b10750.2,1.203815663,0.006721433,NA,NA
AT1G53380,Chir01Ox_b42220.2,NA,NA,1.157425262,0.025265747
AT1G53430,Chir01Ox_b42280.2,NA,NA,2.176004577,2.57e-06
AT1G53540,Chir05Ox_b11010.2,7.32607401,1.3e-60,7.378443106,1.8e-26
AT1G53920,Chir01Ox_b42830.2,NA,NA,1.983732741,9.04e-05
AT1G54050,Chir01Ox_b43130.2,8.99774569,8.29e-80,2.964947012,9.4e-08
AT1G54060,Chir01Ox_b43140.2,3.314545474,1.82e-10,NA,NA
AT1G54070,Chir01Ox_b43150.2,4.04886747,4.82e-08,NA,NA
AT1G54960,Chir02Ox_b09220.2,NA,NA,1.250922644,0.020659398
AT1G55110,Chir01Ox_b43460.2,NA,NA,1.48279522,0.005468344
AT1G55320,Chir01Ox_b43730.2,NA,NA,1.605977991,0.004103729
AT1G55450,Chir01Ox_b43850.2,NA,NA,1.719775524,0.000840043
AT1G55460,Chir01Ox_b43860.2,NA,NA,1.633053166,0.000725415
AT1G55530,Chir01Ox_b43930.2,2.984043717,1.88e-13,NA,NA
AT1G55820,Chir01Ox_b44240.2,NA,NA,1.395220432,0.035192752
AT1G55920,Chir01Ox_b44370.2,2.514615767,4.83e-05,3.078717727,4.64e-10
AT1G56050,Chir01Ox_b44470.2,NA,NA,1.211254136,0.026731134
AT1G56060,Chir01Ox_b44480.2,5.687217708,6.14e-19,3.384961037,0.009632364
AT1G56110,Chir01Ox_b44560.2,NA,NA,1.687808014,0.002313049
AT1G56140,Chir01Ox_b44610.2,1.65960097,2.73e-08,2.855114128,3.61e-06
AT1G56170,Chir01Ox_b44670.2,1.499305004,0.022628428,2.166232846,4.45e-05
AT1G56240,Chir02Ox_b08960.2,NA,NA,1.797598937,0.009188338
AT1G56250,Chir02Ox_b08950.2,NA,NA,2.162489353,0.019508963
AT1G56540,Chir02Ox_b08480.2,1.254013162,0.000280017,1.740899667,0.001613556
AT1G56660,Chir02Ox_b08340.2,4.801574019,8.45e-37,3.859074222,0.00103909
AT1G57770,Chir02Ox_b08000.2,NA,NA,1.004337623,0.045644868
AT1G58025,Chir02Ox_b07750.2,NA,NA,1.184669774,0.014431125
AT1G58200,Chir02Ox_b07390.2,NA,NA,1.326854853,0.02757024
AT1G58210,Chir02Ox_b07370.2,1.007134154,1.99e-05,NA,NA
AT1G58470,Chir02Ox_b06980.2,NA,NA,1.130450512,0.038247012
AT1G58848,Chir02Ox_b06940.2,NA,NA,1.169098234,0.027612083
AT1G58983,Chir02Ox_b06930.2,NA,NA,1.609549556,0.01405701
AT1G59640,Chir02Ox_b06780.2,NA,NA,1.9041108,0.017197928
AT1G59660,Chir02Ox_b06760.2,2.370825832,7.2e-11,1.629250372,0.00325775
AT1G59820,Chir02Ox_b06580.2,NA,NA,1.921957567,0.000437397
AT1G59870,Chir02Ox_b06510.2,1.380333854,0.02198936,2.131180459,0.000637471
AT1G60190,Chir02Ox_b06120.2,4.694896264,1.42e-26,NA,NA
AT1G60640,Chir02Ox_b05630.2,NA,NA,1.605046452,0.001054921
AT1G61000,Chir02Ox_b05410.2,NA,NA,1.472796691,0.005487072
AT1G61140,Chir02Ox_b04910.2,NA,NA,1.487489906,0.000489738
AT1G61210,Chir02Ox_b04850.2,NA,NA,1.349688933,0.001323004
AT1G61260,Chir02Ox_b04730.2,1.696214588,6.45e-06,1.720564967,0.000763549
AT1G61340,Chir02Ox_b04700.2,3.241233593,1.98e-06,2.628700507,0.011319543
AT1G61360,Chir02Ox_b04630.2,NA,NA,1.772675523,0.000639599
AT1G61370,Chir02Ox_b04620.2,NA,NA,1.97407689,5.45e-05
AT1G61380,Chir02Ox_b04610.2,NA,NA,1.434577001,0.004063537
AT1G61470,Chir01Ox_b26600.2,NA,NA,1.627615,0.033035495
AT1G61640,Chir02Ox_b04120.2,NA,NA,1.111908301,0.031958104
AT1G61800,Chir02Ox_b03930.2,1.533501274,0.000105305,2.969842111,2.55e-08
AT1G61860,Chir02Ox_b03860.2,NA,NA,1.873972931,0.001076852
AT1G61890,Chir02Ox_b03820.2,1.085946843,0.007472596,NA,NA
AT1G61930,Chir02Ox_b03790.2,2.310120582,0.00125018,NA,NA
AT1G62130,Chir07Ox_b21900.2,NA,NA,1.107805216,0.021815944
AT1G62180,Chir02Ox_b03420.2,NA,NA,3.274307109,2.97e-07
AT1G62310,Chir02Ox_b03250.2,2.175494234,3.95e-09,NA,NA
AT1G62710,Chir02Ox_b02750.2,NA,NA,1.824718099,0.002067345
AT1G62740,Chir02Ox_b02720.2,NA,NA,1.014578779,0.046860949
AT1G62840,Chir02Ox_b02550.2,2.527252533,1.77e-05,1.352170525,0.047163474
AT1G63090,Chir02Ox_b02120.2,NA,NA,1.551725024,0.007407944
AT1G63470,Chir02Ox_b01640.2,NA,NA,1.146755295,0.025302827
AT1G63500,Chir02Ox_b01620.2,NA,NA,1.336366379,0.012564619
AT1G63540,Chir02Ox_b01590.2,1.629941528,0.000859529,NA,NA
AT1G63820,Chir02Ox_b01180.2,NA,NA,2.819808931,2e-06
AT1G63830,Chir02Ox_b01170.2,NA,NA,1.432749545,0.011534505
AT1G63840,Chir02Ox_b01150.2,2.086466373,0.000244132,NA,NA
AT1G63880,Chir02Ox_b01020.2,1.609210567,0.002832956,1.609220064,0.000723141
AT1G63930,Chir02Ox_b00950.2,NA,NA,1.574710169,5.28e-06
AT1G64065,Chir02Ox_b00810.2,1.528992473,0.007137616,NA,NA
AT1G64280,Chir02Ox_b00580.2,NA,NA,1.251045058,0.022023752
AT1G64440,Chir02Ox_b00410.2,NA,NA,1.156029213,0.022141588
AT1G64700,Chir02Ox_b00130.2,NA,NA,1.593456073,0.03552718
AT1G64760,Chir02Ox_b09480.2,1.559866599,4.93e-05,1.52843919,0.009452868
AT1G64780,Chir02Ox_b10160.2,NA,NA,1.664892226,0.000383805
AT1G64980,Chir02Ox_b10340.2,NA,NA,1.500169659,0.001064762
AT1G65240,Chir02Ox_b10690.2,NA,NA,1.611267823,2.68e-06
AT1G65390,Chir06Ox_b03630.2,1.964407902,0.003494277,3.156994636,2.65e-05
AT1G65470,Chir02Ox_b10990.2,NA,NA,1.937499228,1.82e-06
AT1G65490,Chir02Ox_b11060.2,NA,NA,2.919410878,0.044213291
AT1G65840,Chir02Ox_b11490.2,NA,NA,1.73282707,5e-05
AT1G65870,Chir05Ox_b23890.2,2.0797562,0.00465708,NA,NA
AT1G66080,Chir02Ox_b11760.2,2.05196277,2.36e-07,NA,NA
AT1G66160,Chir02Ox_b11880.2,3.569764642,3.16e-06,1.990812469,0.014281476
AT1G66260,Chir02Ox_b12140.2,NA,NA,1.633124933,0.001264609
AT1G66330,Chir02Ox_b12150.2,NA,NA,1.10389847,0.024251795
AT1G66400,Chir02Ox_b12300.2,2.15049603,0.005932605,NA,NA
AT1G66580,Chir02Ox_b16220.2,1.972310007,4.65e-09,1.334256987,0.010336974
AT1G66880,Chir02Ox_b12790.2,1.195427675,0.010458195,NA,NA
AT1G67060,Chir02Ox_b13170.2,1.489686238,6.84e-05,NA,NA
AT1G67070,Chir02Ox_b13200.2,NA,NA,1.211716219,0.01883923
AT1G67180,Chir02Ox_b13280.2,NA,NA,1.850092792,0.001846213
AT1G67210,Chir02Ox_b13310.2,NA,NA,1.696444633,0.002058963
AT1G67230,Chir02Ox_b13330.2,NA,NA,1.349304711,0.012906194
AT1G67320,Chir02Ox_b13440.2,NA,NA,1.604604653,0.000422054
AT1G67360,Chir02Ox_b13530.2,NA,NA,2.70965159,8.93e-09
AT1G67470,Chir02Ox_b10700.2,NA,NA,1.764757328,0.006517019
AT1G67623,Chir02Ox_b13830.2,2.16815771,0.018492794,NA,NA
AT1G67630,Chir02Ox_b13840.2,NA,NA,1.737961121,6.74e-05
AT1G67780,Chir02Ox_b10310.2,NA,NA,1.281357865,0.026047118
AT1G67850,Chir02Ox_b14110.2,1.608697128,1.54e-06,1.696836632,0.031356758
AT1G67856,Chir02Ox_b14120.2,2.48557979,0.000798949,NA,NA
AT1G67890,Chir02Ox_b14160.2,1.052470828,0.001222061,NA,NA
AT1G67920,Chir02Ox_b14180.2,4.364385781,1.22e-21,NA,NA
AT1G68290,Chir02Ox_b14590.2,NA,NA,2.206212216,0.003909993
AT1G68410,Chir02Ox_b14740.2,1.128371892,0.000849068,1.063712046,0.027174243
AT1G68440,Chir02Ox_b14760.2,NA,NA,2.51963645,1.16e-06
AT1G68450,Chir02Ox_b14770.2,1.968028578,0.000630086,NA,NA
AT1G68830,Chir02Ox_b15220.2,NA,NA,1.189877846,0.012906194
AT1G69200,Chir02Ox_b15610.2,NA,NA,1.232240283,0.019451182
AT1G69526,Chir02Ox_b15980.2,NA,NA,1.472741068,0.048902637
AT1G69530,Chir02Ox_b15990.2,NA,NA,1.08623382,0.04535278
AT1G69550,Chir08Ox_b03750.2,NA,NA,1.119493113,0.008849696
AT1G69680,Chir02Ox_b16140.2,1.17574355,0.005454443,NA,NA
AT1G69710,Chir02Ox_b16170.2,NA,NA,1.420190956,2.54e-05
AT1G69770,Chir02Ox_b16250.2,NA,NA,1.717300661,0.000160414
AT1G69840,Chir02Ox_b16330.2,NA,NA,2.295538006,0.000139431
AT1G69890,Chir02Ox_b16380.2,2.042749587,1.94e-08,NA,NA
AT1G69900,Chir02Ox_b16390.2,3.671282469,7.21e-07,NA,NA
AT1G69930,Chir02Ox_b16430.2,NA,NA,2.2695846,0.011256501
AT1G70000,Chir02Ox_b16500.2,NA,NA,2.75481448,2.77e-06
AT1G70090,Chir02Ox_b16560.2,1.41825078,4.1e-05,NA,NA
AT1G70140,Chir02Ox_b16610.2,NA,NA,1.632936238,0.005953595
AT1G70170,Chir02Ox_b16640.2,1.075579281,0.000747526,NA,NA
AT1G70420,Chir02Ox_b16910.2,2.053938044,2.95e-08,NA,NA
AT1G70590,Chir02Ox_b17130.2,1.522371038,0.000176928,1.803633545,0.00052998
AT1G70610,Chir02Ox_b17160.2,1.172610582,0.00024554,2.237472393,8.61e-07
AT1G70630,Chir02Ox_b17180.2,1.753975195,1.3e-06,NA,NA
AT1G70740,Chir02Ox_b17310.2,1.181341492,0.001239437,1.556663449,0.002126943
AT1G71000,Chir02Ox_b17560.2,4.092202792,8.07e-16,4.185490559,1.73e-09
AT1G71040,Chir02Ox_b17610.2,NA,NA,1.658718438,0.000126636
AT1G71110,Chir02Ox_b17680.2,2.295259455,3.21e-08,2.356348755,0.000135771
AT1G71250,Chir02Ox_b17830.2,1.355316249,0.000679591,NA,NA
AT1G71360,Chir02Ox_b17940.2,1.274719187,0.000179625,NA,NA
AT1G71520,Chir02Ox_b18110.2,3.21115046,3.2e-07,3.986948733,9.37e-08
AT1G71530,Chir02Ox_b18120.2,NA,NA,1.389807446,0.000448006
AT1G71697,Chir02Ox_b18190.2,2.530031557,1.65e-12,3.070148008,3.83e-08
AT1G71760,Chir02Ox_b18250.2,NA,NA,2.928769267,9.74e-08
AT1G72190,Chir02Ox_b18840.2,1.041970821,0.003464464,NA,NA
AT1G72210,Chir02Ox_b18860.2,1.605633121,2.04e-06,NA,NA
AT1G72250,Chir02Ox_b18900.2,NA,NA,1.14645616,0.010300103
AT1G72280,Chir02Ox_b18920.2,NA,NA,2.131676339,0.000274631
AT1G72450,Chir02Ox_b19140.2,NA,NA,1.523375271,0.004592408
AT1G72500,Chir02Ox_b19190.2,NA,NA,1.429383406,0.00371859
AT1G72510,Chir02Ox_b19200.2,1.157774241,0.000790343,NA,NA
AT1G72520,Chir02Ox_b19210.2,2.559433731,0.000780558,2.684368246,0.019138422
AT1G72660,Chir02Ox_b19350.2,NA,NA,1.918773042,0.000127417
AT1G72950,Chir02Ox_b19620.2,NA,NA,1.573890199,0.036604133
AT1G72960,Chir02Ox_b19660.2,2.98230896,1.63e-07,1.995943823,0.000117271
AT1G73020,Chir02Ox_b19720.2,NA,NA,1.153201429,0.017964928
AT1G73066,Chir02Ox_b19770.2,3.271718489,9.27e-13,1.333147901,0.012504949
AT1G73080,Chir02Ox_b19780.2,2.313954084,4.3e-09,3.084884795,2.43e-08
AT1G73500,Chir02Ox_b20230.2,NA,NA,1.718761287,0.001972077
AT1G73510,Chir01Ox_b44080.2,NA,NA,3.21727279,0.000461162
AT1G73530,Chir02Ox_b20250.2,NA,NA,1.398555458,0.003231425
AT1G73540,Chir02Ox_b20260.2,1.750839622,7.56e-08,NA,NA
AT1G73600,Chir02Ox_b20330.2,1.048343743,0.028084334,1.792240122,0.015282129
AT1G73670,Chir02Ox_b20440.2,NA,NA,1.216302973,0.016449381
AT1G73805,Chir02Ox_b20580.2,2.321492137,0.034053575,NA,NA
AT1G73870,Chir02Ox_b20660.2,NA,NA,3.161069281,2.75e-09
AT1G73920,Chir02Ox_b20730.2,NA,NA,1.248649967,0.028014961
AT1G73960,Chir02Ox_b20770.2,NA,NA,1.08877226,0.029468619
AT1G73965,Chir02Ox_b20780.2,NA,NA,2.147276437,0.002447327
AT1G74000,Chir02Ox_b20840.2,1.923996375,0.014524343,NA,NA
AT1G74030,Chir02Ox_b20870.2,NA,NA,1.062614771,0.026822093
AT1G74250,Chir02Ox_b21190.2,NA,NA,1.402539089,0.006351373
AT1G74310,Chir02Ox_b21240.2,8.147132617,9.8e-62,5.201779457,1.16e-21
AT1G74320,Chir02Ox_b21250.2,1.031104191,0.015238521,NA,NA
AT1G74330,Chir02Ox_b21260.2,2.482223119,1.99e-12,1.791777768,0.000155052
AT1G74360,Chir02Ox_b21290.2,1.341924358,0.004551427,1.380450182,0.023113925
AT1G74380,Chir02Ox_b21310.2,NA,NA,1.124984779,0.032962897
AT1G74400,Chir02Ox_b21330.2,2.391760338,5.92e-08,3.219944037,4.28e-13
AT1G74430,Chir02Ox_b21370.2,NA,NA,2.847780352,9.98e-08
AT1G74440,Chir02Ox_b21380.2,NA,NA,1.75989543,0.006833537
AT1G74450,Chir02Ox_b21390.2,2.815916379,1.13e-07,1.858615312,0.043468027
AT1G74490,Chir02Ox_b21440.2,NA,NA,1.913153715,0.000674617
AT1G74590,Chir02Ox_b21540.2,1.999053115,0.002321268,NA,NA
AT1G74710,Chir02Ox_b21650.2,NA,NA,1.300645217,0.018403854
AT1G74930,Chir02Ox_b21860.2,4.279077672,3.82e-26,NA,NA
AT1G74950,Chir02Ox_b21880.2,1.408434397,3.12e-05,1.183895659,0.013980639
AT1G75000,Chir02Ox_b21920.2,2.503338957,7.56e-06,1.899660199,0.027059775
AT1G75020,Chir02Ox_b21940.2,NA,NA,1.483960769,0.017614989
AT1G75080,Chir02Ox_b22010.2,2.039714397,5.3e-09,NA,NA
AT1G75100,Chir02Ox_b22030.2,NA,NA,2.08956148,7.73e-05
AT1G75150,Chir02Ox_b22090.2,NA,NA,1.707955126,7.24e-05
AT1G75210,Chir02Ox_b22150.2,NA,NA,1.224891228,0.008849696
AT1G75860,Chir02Ox_b22930.2,1.620987662,1e-06,3.163125725,7.81e-10
AT1G76040,Chir02Ox_b23090.2,NA,NA,2.494366767,7.26e-07
AT1G76070,Chir02Ox_b23120.2,NA,NA,2.209307159,0.001360504
AT1G76180,Chir02Ox_b23240.2,1.000134851,0.010168884,NA,NA
AT1G76360,Chir02Ox_b23470.2,1.527316964,0.000187629,NA,NA
AT1G76380,Chir02Ox_b23490.2,1.677914176,1.7e-07,2.63656436,2.53e-08
AT1G76580,Chir02Ox_b23690.2,1.150078675,0.001183566,NA,NA
AT1G76590,Chir02Ox_b23700.2,2.318506409,0.000276737,NA,NA
AT1G76600,Chir02Ox_b23730.2,1.954108684,3.17e-09,2.978402545,1e-05
AT1G76650,Chir02Ox_b23780.2,4.006104399,2.46e-09,NA,NA
AT1G76680,Chir02Ox_b23810.2,4.317026979,2.72e-28,6.443542972,2.78e-21
AT1G76700,Chir02Ox_b23820.2,1.106335723,0.000957715,2.055137078,2.69e-05
AT1G76760,Chir02Ox_b23870.2,1.416833396,0.007036908,NA,NA
AT1G76780,Chir02Ox_b23890.2,NA,NA,1.30400275,0.000323135
AT1G76810,Chir02Ox_b23920.2,NA,NA,1.746318484,0.001246549
AT1G76965,Chir02Ox_b24050.2,NA,NA,2.110655031,0.000299056
AT1G77030,Chir02Ox_b24150.2,NA,NA,1.227735806,0.011840194
AT1G77170,Chir02Ox_b24250.2,1.442974363,0.012507066,NA,NA
AT1G77220,Chir02Ox_b24290.2,1.090162706,0.001814697,NA,NA
AT1G77250,Chir02Ox_b24320.2,1.22090592,0.000111719,2.338457759,1.53e-07
AT1G77270,Chir02Ox_b24340.2,NA,NA,1.185260853,0.042163819
AT1G77320,Chir02Ox_b24400.2,1.022655363,0.001361392,1.549314681,0.000366923
AT1G77390,Chir02Ox_b24460.2,1.645552546,0.000770721,3.217606183,1.21e-12
AT1G77410,Chir02Ox_b24490.2,NA,NA,1.164253055,0.020511867
AT1G77450,Chir02Ox_b24530.2,4.803689223,1.3e-30,3.26393126,3.89e-07
AT1G77500,Chir02Ox_b24580.2,NA,NA,2.877255732,2.67e-08
AT1G77600,Chir02Ox_b24670.2,NA,NA,1.019409698,0.036475656
AT1G77680,Chir02Ox_b24750.2,1.046454809,0.00144222,1.737289931,0.001973637
AT1G77720,Chir02Ox_b24790.2,NA,NA,1.07384771,0.047910643
AT1G77760,Chir02Ox_b24830.2,1.076534016,0.000554326,NA,NA
AT1G77890,Chir02Ox_b24940.2,NA,NA,1.358924056,0.011131839
AT1G78000,Chir02Ox_b25030.2,NA,NA,1.354297805,3.34e-05
AT1G78050,Chir02Ox_b25070.2,NA,NA,1.863443824,0.002440404
AT1G78070,Chir02Ox_b25090.2,1.657896831,1.07e-07,2.988793111,0.018097602
AT1G78080,Chir02Ox_b25100.2,1.174342274,0.00046805,NA,NA
AT1G78100,Chir02Ox_b25120.2,1.477622809,3.69e-05,NA,NA
AT1G78280,Chir02Ox_b25300.2,3.472639579,3.21e-13,1.539616878,0.04106451
AT1G78390,Chir02Ox_b25470.2,2.031587701,0.006573029,NA,NA
AT1G78650,Chir02Ox_b25720.2,NA,NA,1.132988032,0.025876751
AT1G78770,Chir02Ox_b25870.2,NA,NA,1.155518798,0.027062458
AT1G78780,Chir02Ox_b25880.2,NA,NA,2.012432092,0.004219829
AT1G78955,Chir02Ox_b26120.2,NA,NA,1.383326403,0.002342792
AT1G78990,Chir02Ox_b26160.2,NA,NA,1.764127028,0.000301866
AT1G79350,Chir02Ox_b26530.2,NA,NA,1.100639893,0.039860498
AT1G79380,Chir02Ox_b26550.2,2.005490299,2.2e-10,1.400065858,0.007225501
AT1G79560,Chir02Ox_b26720.2,NA,NA,1.23214151,0.016025026
AT1G79610,Chir02Ox_b26810.2,NA,NA,1.358570155,0.007512434
AT1G79660,Chir02Ox_b26860.2,1.006853495,0.008730804,NA,NA
AT1G79680,Chir02Ox_b26910.2,1.051681315,0.001813467,NA,NA
AT1G79710,Chir02Ox_b26940.2,NA,NA,2.111431549,0.000212279
AT1G79890,Chir02Ox_b28090.2,NA,NA,1.2770626,0.008615323
AT1G79950,Chir02Ox_b28020.2,1.081808562,0.000461304,NA,NA
AT1G79960,Chir02Ox_b28010.2,2.172073586,0.000147916,NA,NA
AT1G80110,Chir02Ox_b27880.2,2.314230693,3.53e-07,NA,NA
AT1G80120,Chir02Ox_b27870.2,NA,NA,1.946165524,0.017802411
AT1G80130,Chir02Ox_b27860.2,2.18260103,3.4e-06,NA,NA
AT1G80320,Chir02Ox_b27690.2,NA,NA,1.47012677,0.014362557
AT1G80520,Chir02Ox_b27480.2,NA,NA,2.921943199,0.000424484
AT1G80610,Chir02Ox_b27340.2,1.624421223,1.76e-06,1.754911041,0.000295215
AT1G80660,Chir02Ox_b27290.2,2.574263698,1.5e-18,NA,NA
AT1G80670,Chir02Ox_b27280.2,1.524944138,3.89e-05,1.091503457,0.02435944
AT1G80710,Chir02Ox_b27230.2,NA,NA,1.182555842,0.046581438
AT1G80810,Chir02Ox_b27110.2,NA,NA,1.243184346,0.016166427
AT1G80820,Chir02Ox_b27100.2,1.977031577,0.017173971,2.2037382,0.000274631
AT1G80830,Chir02Ox_b27090.2,1.417611477,0.001038942,NA,NA
AT1G80840,Chir02Ox_b27080.2,2.670888373,0.001452715,NA,NA
AT1G80970,Chir02Ox_b26870.2,1.966402606,0.001273591,NA,NA
AT2G01150,Chir05Ox_b00140.2,NA,NA,1.651309523,0.004745631
AT2G01180,Chir05Ox_b00160.2,2.272635698,6.71e-10,3.113023344,2.5e-08
AT2G01300,Chir05Ox_b00260.2,NA,NA,2.348995273,0.030245223
AT2G01450,Chir05Ox_b00400.2,NA,NA,1.757398958,0.001360504
AT2G01670,Chir05Ox_b00660.2,1.538819768,8.52e-06,NA,NA
AT2G01750,Chir05Ox_b00740.2,NA,NA,1.27840911,0.005288428
AT2G01850,Chir05Ox_b00820.2,1.121032754,0.000540741,NA,NA
AT2G02010,Chir05Ox_b01040.2,NA,NA,3.997941064,3.12e-06
AT2G02800,Chir05Ox_b01650.2,1.576672246,7.84e-07,2.360081809,4.13e-07
AT2G02810,Chir05Ox_b01660.2,NA,NA,1.734070937,0.000956056
AT2G02860,Chir05Ox_b01700.2,NA,NA,2.388560795,2.01e-07
AT2G03090,Chir05Ox_b01860.2,1.8515408,8.67e-08,1.888399481,2.53e-05
AT2G03150,Chir05Ox_b01910.2,NA,NA,1.270756684,0.014910762
AT2G03210,Chir05Ox_b01960.2,2.476273319,4.27e-06,NA,NA
AT2G03240,Chir05Ox_b01980.2,1.963263336,3.2e-08,2.232067774,0.000242712
AT2G03880,Chir05Ox_b02630.2,NA,NA,1.035765872,0.049513638
AT2G04030,Chir05Ox_b02690.2,NA,NA,1.485255863,0.003285204
AT2G04039,Chir03Ox_b26030.2,NA,NA,1.457663283,0.013630361
AT2G04530,Chir03Ox_b26490.2,NA,NA,1.03898771,0.037203673
AT2G05100,Chir03Ox_b26980.2,NA,NA,1.397413346,0.038089098
AT2G05940,Chir03Ox_b27450.2,3.006773539,7.57e-06,1.736980492,0.001387839
AT2G06050,Chir03Ox_b27580.2,2.708909638,7.37e-08,2.909260366,2.73e-10
AT2G06530,Chir03Ox_b27650.2,NA,NA,2.105114533,1.59e-05
AT2G07671,ChirMtOx_b00130.2,NA,NA,2.46132089,0.006256373
AT2G07690,Chir03Ox_b27820.2,NA,NA,2.041359752,6.18e-06
AT2G13640,Chir04Ox_b14580.2,NA,NA,1.606266764,2.35e-06
AT2G13790,Chir03Ox_b28090.2,1.902225877,4.5e-08,3.161167926,1.48e-09
AT2G14050,Chir03Ox_b27980.2,NA,NA,1.269977873,0.01816758
AT2G14960,Chir03Ox_b29150.2,1.315136296,0.012847302,1.317538653,0.001037933
AT2G15620,Chir03Ox_b29730.2,1.209855982,0.014550729,1.633296953,0.023369414
AT2G16440,Chir03Ox_b30360.2,NA,NA,1.761036179,8.55e-05
AT2G16500,Chir03Ox_b30410.2,NA,NA,1.283392346,0.018580103
AT2G16630,Chir03Ox_b30540.2,NA,NA,1.656747811,0.006557468
AT2G16720,Chir03Ox_b30800.2,1.98733141,0.004419365,3.196690393,2.09e-06
AT2G16900,Chir03Ox_b31030.2,1.305032554,0.000306545,2.031718069,6.1e-05
AT2G17120,Chir03Ox_b31330.2,NA,NA,1.596751288,0.001408521
AT2G17210,Chir03Ox_b31410.2,1.215437962,0.039303084,NA,NA
AT2G17220,Chir03Ox_b31420.2,NA,NA,1.44780576,0.002153164
AT2G17300,Chir03Ox_b31560.2,1.274803599,0.038650571,NA,NA
AT2G17410,Chir03Ox_b31720.2,NA,NA,1.072167239,0.035796758
AT2G17480,Chir03Ox_b31800.2,NA,NA,1.922720297,1.38e-05
AT2G17560,Chir03Ox_b31900.2,NA,NA,1.238638782,0.012995193
AT2G17660,Chir03Ox_b32010.2,2.57688778,0.007641002,NA,NA
AT2G17705,Chir03Ox_b32090.2,1.477384721,0.000147916,NA,NA
AT2G17840,Chir03Ox_b32340.2,2.641715297,3.09e-10,NA,NA
AT2G18090,Chir03Ox_b32610.2,1.164301071,0.003586152,2.039071995,0.000248819
AT2G18100,Chir03Ox_b32620.2,NA,NA,1.231426776,0.031604679
AT2G18193,Chir07Ox_b09690.2,NA,NA,1.919585537,0.005016043
AT2G18220,Chir03Ox_b32820.2,NA,NA,1.12259135,0.019989838
AT2G18450,Chir03Ox_b33100.2,1.194886808,0.003986114,NA,NA
AT2G18690,Chir03Ox_b33320.2,NA,NA,2.656482127,0.025622146
AT2G18950,Chir03Ox_b33590.2,NA,NA,1.678772011,0.000210892
AT2G19570,Chir03Ox_b34140.2,1.468506174,0.004239146,NA,NA
AT2G19620,Chir03Ox_b34180.2,NA,NA,1.832089728,2.33e-05
AT2G19710,Chir03Ox_b34270.2,1.63496014,9e-05,1.730548391,0.001773774
AT2G20110,Chir03Ox_b34670.2,NA,NA,1.272685996,0.024688015
AT2G20250,Chir03Ox_b34780.2,NA,NA,1.285323979,0.018674897
AT2G20290,Chir03Ox_b34820.2,NA,NA,1.241587738,0.00163161
AT2G20300,Chir03Ox_b34830.2,NA,NA,1.069748633,0.03780816
AT2G20320,Chir03Ox_b34860.2,NA,NA,1.392496418,0.016451048
AT2G20340,Chir03Ox_b34880.2,NA,NA,1.51414561,0.006577015
AT2G20362,Chir03Ox_b34900.2,1.694671094,0.020819743,NA,NA
AT2G20370,Chir03Ox_b34910.2,NA,NA,1.833607496,0.000983834
AT2G20560,Chir03Ox_b35090.2,6.240574691,8.98e-43,4.401582021,3.43e-14
AT2G20562,Chir03Ox_b35100.2,1.976771822,0.000623026,NA,NA
AT2G20635,Chir03Ox_b35240.2,NA,NA,1.835216335,0.000142165
AT2G20750,Chir03Ox_b35370.2,NA,NA,2.761386665,0.000537468
AT2G20835,Chir03Ox_b35510.2,1.392248991,0.026340682,NA,NA
AT2G20880,Chir03Ox_b35570.2,2.518629338,5.17e-08,4.043794608,0.00040683
AT2G20900,Chir03Ox_b35590.2,2.242775151,9.82e-11,1.493586798,0.007956233
AT2G20960,Chir04Ox_b00110.2,NA,NA,1.697730176,0.001197213
AT2G20970,Chir04Ox_b00120.2,NA,NA,1.41666918,0.000441437
AT2G20980,Chir04Ox_b00130.2,NA,NA,1.415050535,0.018290331
AT2G21120,Chir04Ox_b00220.2,NA,NA,1.558972474,0.005762908
