"C.hirsutaOX","A.thaliana.TAIR10"
"Chir02Ox-b16480.2","AT1G69980"
"Chir02Ox-b16490.2","AT1G69990"
"Chir02Ox-b16500.2","AT1G70000"
"Chir02Ox-b16510.2","AT1G70030"
"Chir02Ox-b16520.2","AT1G70040"
"Chir02Ox-b16530.2","AT3G54410"
"Chir02Ox-b16540.2","AT1G70060"
"Chir02Ox-b16550.2","AT1G70070"
"Chir02Ox-b16560.2","AT1G70090"
"Chir02Ox-b16570.2","AT1G70100"
"Chir02Ox-b16590.2","AT1G70110"
"Chir02Ox-b16600.2","AT1G70130"
"Chir02Ox-b16610.2","AT1G70140"
"Chir02Ox-b16620.2","AT1G70150"
"Chir02Ox-b16630.2","AT1G70160"
"Chir02Ox-b16640.2","AT1G70170"
"Chir02Ox-b16650.2","AT1G70180"
"Chir02Ox-b16690.2","AT1G70190"
"Chir02Ox-b16700.2","AT1G70200"
"Chir02Ox-b16710.2","AT1G70210"
"Chir02Ox-b16720.2","AT1G70220"
"Chir02Ox-b16730.2","AT1G70230"
"Chir02Ox-b16740.2","AT1G70250"
"Chir02Ox-b16750.2","AT1G70260"
"Chir02Ox-b16760.2","AT1G70270"
"Chir02Ox-b16770.2","AT1G70280"
"Chir02Ox-b16790.2","AT1G70300"
"Chir02Ox-b16800.2","AT1G70310"
"Chir02Ox-b16830.2","AT1G65300"
"Chir02Ox-b16840.2","AT1G70330"
"Chir02Ox-b16850.2","AT1G70340"
"Chir02Ox-b16860.2","AT1G70350"
"Chir02Ox-b16870.2","AT1G70370"
"Chir02Ox-b16910.2","AT1G70420"
"Chir02Ox-b16920.2","AT1G70430"
"Chir02Ox-b16930.2","AT1G70440"
"Chir02Ox-b16940.2","AT1G70460"
"Chir02Ox-b16960.2","AT1G70480"
"Chir02Ox-b16970.2","AT1G23490"
"Chir02Ox-b16980.2","AT1G70500"
"Chir02Ox-b17030.2","AT1G70505"
"Chir02Ox-b17040.2","AT1G70510"
"Chir02Ox-b17050.2","AT1G70520"
"Chir02Ox-b17060.2","AT1G70530"
"Chir02Ox-b17070.2","AT1G70540"
"Chir02Ox-b17080.2","AT1G70550"
"Chir02Ox-b17090.2","AT1G70560"
"Chir02Ox-b17100.2","AT1G70570"
"Chir02Ox-b17110.2","AT1G70580"
"Chir02Ox-b17130.2","AT1G70590"
"Chir02Ox-b17140.2","AT3G27750"
"Chir02Ox-b17150.2","AT1G70600"
"Chir02Ox-b17160.2","AT1G70610"
"Chir02Ox-b17170.2","AT1G70620"
"Chir02Ox-b17180.2","AT1G70630"
"Chir02Ox-b17190.2","AT1G70640"
"Chir02Ox-b17210.2","AT1G70650"
"Chir02Ox-b17220.2","AT1G70660"
"Chir02Ox-b17250.2","AT1G70670"
"Chir02Ox-b17260.2","AT1G70690"
"Chir02Ox-b17270.2","AT1G70700"
"Chir02Ox-b17280.2","AT1G70710"
"Chir02Ox-b17290.2","AT1G70720"
"Chir02Ox-b17310.2","AT1G70740"
"Chir02Ox-b17320.2","AT1G70750"
"Chir02Ox-b17330.2","AT1G70760"
"Chir02Ox-b17340.2","AT1G70770"
"Chir02Ox-b17350.2","AT1G70780"
"Chir02Ox-b17360.2","AT1G70790"
"Chir02Ox-b17370.2","AT1G70810"
"Chir02Ox-b17380.2","AT1G70820"
"Chir02Ox-b17390.2","AT1G70830"
"Chir02Ox-b17410.2","AT1G70840"
"Chir02Ox-b17460.2","AT1G70870"
"Chir02Ox-b17470.2","AT1G70895"
"Chir02Ox-b17480.2","AT1G70900"
"Chir02Ox-b17490.2","AT1G70920"
"Chir02Ox-b17500.2","AT1G70940"
"Chir02Ox-b17540.2","AT1G70985"
"Chir02Ox-b17550.2","AT1G70990"
"Chir02Ox-b17560.2","AT1G71000"
"Chir02Ox-b17570.2","AT1G71010"
"Chir02Ox-b17580.2","AT1G71015"
"Chir02Ox-b17600.2","AT1G71030"
"Chir02Ox-b17610.2","AT1G71040"
"Chir02Ox-b17620.2","AT1G71050"
"Chir02Ox-b17630.2","AT1G71060"
"Chir02Ox-b17640.2","AT1G71070"
"Chir02Ox-b17650.2","AT1G71080"
"Chir02Ox-b17660.2","AT1G71090"
"Chir02Ox-b17670.2","AT1G71100"
"Chir02Ox-b17680.2","AT1G71110"
"Chir02Ox-b17690.2","AT1G71120"
"Chir02Ox-b17700.2","AT1G71130"
"Chir02Ox-b17730.2","AT1G71150"
"Chir02Ox-b17740.2","AT1G71160"
"Chir02Ox-b17750.2","AT1G71170"
"Chir02Ox-b17760.2","AT1G71180"
"Chir02Ox-b17770.2","AT1G71190"
"Chir02Ox-b17780.2","AT1G71200"
"Chir02Ox-b17790.2","AT1G71210"
"Chir02Ox-b17800.2","AT1G71220"
"Chir02Ox-b17810.2","AT1G71230"
"Chir02Ox-b17820.2","AT1G71240"
"Chir02Ox-b17830.2","AT1G71250"
"Chir02Ox-b17850.2","AT1G71260"
"Chir02Ox-b17860.2","AT1G71270"
"Chir02Ox-b17870.2","AT1G70960"
"Chir02Ox-b17900.2","AT1G71310"
"Chir02Ox-b17910.2","AT5G24670"
"Chir02Ox-b17920.2","AT1G71340"
"Chir02Ox-b17930.2","AT1G71350"
"Chir02Ox-b17940.2","AT1G71360"
"Chir02Ox-b17950.2","AT1G71380"
"Chir02Ox-b18010.2","AT1G71410"
"Chir02Ox-b18030.2","AT1G71420"
"Chir02Ox-b18040.2","AT1G71440"
"Chir02Ox-b18050.2","AT1G71450"
"Chir02Ox-b18060.2","AT1G80310"
"Chir02Ox-b18070.2","AT1G71460"
"Chir02Ox-b18080.2","AT1G71480"
"Chir02Ox-b18090.2","AT1G71490"
"Chir02Ox-b18100.2","AT1G71500"
"Chir02Ox-b18110.2","AT1G71520"
"Chir02Ox-b18120.2","AT1G71530"
"Chir02Ox-b18130.2","AT1G71680"
"Chir02Ox-b18140.2","AT1G71690"
"Chir02Ox-b18150.2","AT1G71691"
"Chir02Ox-b18160.2","AT1G71692"
"Chir02Ox-b18170.2","AT1G71695"
"Chir02Ox-b18180.2","AT1G71696"
"Chir02Ox-b18190.2","AT1G71697"
"Chir02Ox-b18200.2","AT1G71710"
"Chir02Ox-b18210.2","AT1G71720"
"Chir02Ox-b18220.2","AT1G71730"
"Chir02Ox-b18230.2","AT1G71740"
"Chir02Ox-b18240.2","AT1G71750"
"Chir02Ox-b18250.2","AT1G71760"
"Chir02Ox-b18260.2","AT1G71770"
"Chir02Ox-b18280.2","AT1G71780"
"Chir02Ox-b18290.2","AT1G71790"
"Chir02Ox-b18300.2","AT1G71800"
"Chir02Ox-b18310.2","AT1G71810"
"Chir02Ox-b18320.2","AT1G71820"
"Chir02Ox-b18330.2","AT1G71830"
"Chir02Ox-b18340.2","AT1G71850"
"Chir02Ox-b18360.2","AT1G71840"
"Chir02Ox-b18370.2","AT1G71866"
"Chir02Ox-b18380.2","AT1G71865"
"Chir02Ox-b18390.2","AT1G71860"
"Chir02Ox-b18410.2","AT1G48200"
"Chir02Ox-b18440.2","AT1G71870"
"Chir02Ox-b18450.2","AT1G71880"
"Chir02Ox-b18470.2","AT5G19610"
"Chir02Ox-b18480.2","AT1G71900"
"Chir02Ox-b18490.2","AT1G71910"
"Chir02Ox-b18500.2","AT1G71920"
"Chir02Ox-b18510.2","AT1G71930"
"Chir02Ox-b18520.2","AT1G71940"
"Chir02Ox-b18530.2","AT1G71950"
"Chir02Ox-b18540.2","AT1G71960"
"Chir02Ox-b18550.2","AT1G71970"
"Chir02Ox-b18560.2","AT1G71980"
"Chir02Ox-b18570.2","AT1G71990"
"Chir02Ox-b18580.2","AT1G72010"
"Chir02Ox-b18590.2","AT1G72020"
"Chir02Ox-b18600.2","AT1G72030"
"Chir02Ox-b18610.2","AT1G72040"
"Chir02Ox-b18620.2","AT1G72050"
"Chir02Ox-b18630.2","AT1G72060"
"Chir02Ox-b18640.2","AT1G72070"
"Chir02Ox-b18660.2","AT1G72090"
"Chir02Ox-b18670.2","AT1G72100"
"Chir02Ox-b18680.2","AT1G72125"
"Chir02Ox-b18710.2","AT1G72110"
"Chir02Ox-b18720.2","AT1G72130"
"Chir02Ox-b18760.2","AT1G72140"
"Chir02Ox-b18790.2","AT1G72150"
"Chir02Ox-b18800.2","AT1G72160"
"Chir02Ox-b18810.2","AT1G72170"
"Chir02Ox-b18820.2","AT1G72175"
"Chir02Ox-b18830.2","AT1G72180"
"Chir02Ox-b18840.2","AT1G72190"
"Chir02Ox-b18850.2","AT1G72200"
"Chir02Ox-b18860.2","AT1G72210"
"Chir02Ox-b18870.2","AT1G72220"
"Chir02Ox-b18880.2","AT1G72230"
"Chir02Ox-b18890.2","AT1G72240"
"Chir02Ox-b18900.2","AT1G72250"
"Chir02Ox-b18920.2","AT1G72280"
"Chir02Ox-b18950.2","AT1G72290"
"Chir02Ox-b18970.2","AT1G72300"
"Chir02Ox-b18980.2","AT1G72310"
"Chir02Ox-b19010.2","AT1G72320"
"Chir02Ox-b19020.2","AT1G72330"
"Chir02Ox-b19030.2","AT1G72340"
"Chir02Ox-b19040.2","AT1G72350"
"Chir02Ox-b19050.2","AT1G72360"
"Chir02Ox-b19060.2","AT1G72370"
"Chir02Ox-b19070.2","AT1G72390"
"Chir02Ox-b19080.2","AT1G72410"
"Chir02Ox-b19090.2","AT1G72416"
"Chir02Ox-b19100.2","AT1G72420"
"Chir02Ox-b19120.2","AT1G72430"
"Chir02Ox-b19130.2","AT1G72440"
"Chir02Ox-b19140.2","AT1G72450"
"Chir02Ox-b19150.2","AT1G72460"
"Chir02Ox-b19160.2","AT1G72470"
"Chir02Ox-b19170.2","AT1G72480"
"Chir02Ox-b19180.2","AT1G72490"
"Chir02Ox-b19190.2","AT1G72500"
"Chir02Ox-b19200.2","AT1G72510"
"Chir02Ox-b19210.2","AT1G72520"
"Chir02Ox-b19220.2","AT1G72530"
"Chir02Ox-b19230.2","AT1G72540"
"Chir02Ox-b19240.2","AT1G72550"
"Chir02Ox-b19250.2","AT1G72560"
"Chir02Ox-b19260.2","AT1G72570"
"Chir02Ox-b19270.2","AT1G72600"
"Chir02Ox-b19280.2","AT1G72610"
"Chir02Ox-b19300.2","AT1G72630"
"Chir02Ox-b19310.2","AT1G72640"
"Chir02Ox-b19340.2","AT1G72650"
"Chir02Ox-b19350.2","AT1G72660"
"Chir02Ox-b19360.2","AT1G72670"
"Chir02Ox-b19370.2","AT1G72680"
"Chir02Ox-b19380.2","AT1G72690"
"Chir02Ox-b19390.2","AT1G72700"
"Chir02Ox-b19400.2","AT1G72710"
"Chir02Ox-b19410.2","AT1G72720"
"Chir02Ox-b19420.2","AT1G72730"
"Chir02Ox-b19430.2","AT1G72740"
"Chir02Ox-b19440.2","AT1G72750"
"Chir02Ox-b19450.2","AT1G72760"
"Chir02Ox-b19460.2","AT1G72770"
"Chir02Ox-b19470.2","AT1G72790"
"Chir02Ox-b19480.2","AT1G72800"
"Chir02Ox-b19500.2","AT1G72810"
"Chir02Ox-b19510.2","AT1G72820"
"Chir02Ox-b19520.2","AT1G72830"
"Chir02Ox-b19530.2","AT5G05260"
"Chir02Ox-b19580.2","AT1G72860"
"Chir02Ox-b19590.2","AT1G72870"
"Chir02Ox-b19600.2","AT1G72880"
"Chir02Ox-b19610.2","AT1G72890"
"Chir02Ox-b19620.2","AT1G72950"
"Chir02Ox-b19660.2","AT1G72960"
"Chir02Ox-b19670.2","AT1G72970"
"Chir02Ox-b19680.2","AT1G72980"
"Chir02Ox-b19690.2","AT1G72990"
"Chir02Ox-b19700.2","AT1G73000"
"Chir02Ox-b19710.2","AT1G73010"
"Chir02Ox-b19720.2","AT1G73020"
"Chir02Ox-b19730.2","AT1G73030"
"Chir02Ox-b19740.2","AT1G73040"
"Chir02Ox-b19750.2","AT1G73050"
"Chir02Ox-b19760.2","AT1G73060"
"Chir02Ox-b19770.2","AT1G73066"
"Chir02Ox-b19780.2","AT1G73080"
"Chir02Ox-b19790.2","AT1G73090"
"Chir02Ox-b19800.2","AT1G73100"
"Chir02Ox-b19810.2","AT1G73110"
"Chir02Ox-b19820.2","AT1G73120"
"Chir02Ox-b19830.2","AT1G73130"
"Chir02Ox-b19840.2","AT1G73140"
"Chir02Ox-b19850.2","AT1G73150"
"Chir02Ox-b19860.2","AT1G73160"
"Chir02Ox-b19870.2","AT1G73165"
"Chir02Ox-b19880.2","AT1G73170"
"Chir02Ox-b19890.2","AT1G73177"
"Chir02Ox-b19900.2","AT1G73180"
"Chir02Ox-b19910.2","AT5G47810"
"Chir02Ox-b19920.2","AT1G73190"
"Chir02Ox-b19930.2","AT1G73200"
"Chir02Ox-b19940.2","AT1G73210"
"Chir02Ox-b19950.2","AT1G73220"
"Chir02Ox-b19960.2","AT1G73230"
"Chir02Ox-b19970.2","AT1G73240"
"Chir02Ox-b19980.2","AT1G73250"
"Chir02Ox-b19990.2","AT1G73260"
"Chir02Ox-b20060.2","AT1G73310"
"Chir02Ox-b20080.2","AT1G73280"
"Chir02Ox-b20090.2","AT1G73320"
"Chir02Ox-b20100.2","AT1G73325"
"Chir02Ox-b20110.2","AT1G73340"
"Chir02Ox-b20120.2","AT1G73350"
"Chir02Ox-b20130.2","AT1G73360"
"Chir02Ox-b20140.2","AT1G73370"
"Chir02Ox-b20150.2","AT1G73380"
"Chir02Ox-b20160.2","AT1G73390"
"Chir02Ox-b20170.2","AT1G73400"
"Chir02Ox-b20180.2","AT1G73410"
"Chir02Ox-b20190.2","AT1G73430"
"Chir02Ox-b20200.2","AT1G73460"
"Chir02Ox-b20210.2","AT1G73470"
"Chir02Ox-b20220.2","AT1G73480"
"Chir02Ox-b20230.2","AT1G73500"
"Chir02Ox-b20250.2","AT1G73530"
"Chir02Ox-b20260.2","AT1G73540"
"Chir02Ox-b20280.2","AT1G73550"
"Chir02Ox-b20290.2","AT1G73560"
"Chir02Ox-b20310.2","AT1G73580"
"Chir02Ox-b20320.2","AT1G73590"
"Chir02Ox-b20330.2","AT1G73600"
"Chir02Ox-b20360.2","AT1G73610"
"Chir02Ox-b20370.2","AT1G73620"
"Chir02Ox-b20380.2","AT1G73630"
"Chir02Ox-b20400.2","AT1G73640"
"Chir02Ox-b20410.2","AT1G73650"
"Chir02Ox-b20420.2","AT1G73655"
"Chir02Ox-b20430.2","AT1G73660"
"Chir02Ox-b20440.2","AT1G73670"
"Chir02Ox-b20450.2","AT1G73680"
"Chir02Ox-b20460.2","AT1G73690"
"Chir02Ox-b20490.2","AT1G73710"
"Chir02Ox-b20500.2","AT1G73720"
"Chir02Ox-b20510.2","AT1G73730"
"Chir02Ox-b20520.2","AT1G73740"
"Chir02Ox-b20530.2","AT1G73750"
"Chir02Ox-b20540.2","AT1G73760"
"Chir02Ox-b20550.2","AT1G73770"
"Chir02Ox-b20560.2","AT1G73780"
"Chir02Ox-b20570.2","AT1G73790"
"Chir02Ox-b20580.2","AT1G73805"
"Chir02Ox-b20590.2","AT1G73810"
"Chir02Ox-b20600.2","AT1G73820"
"Chir02Ox-b20620.2","AT1G73830"
"Chir02Ox-b20630.2","AT1G73840"
"Chir02Ox-b20640.2","AT1G73850"
"Chir02Ox-b20660.2","AT1G73870"
"Chir02Ox-b20670.2","AT1G73875"
"Chir02Ox-b20680.2","AT1G73880"
"Chir02Ox-b20690.2","AT1G73885"
"Chir02Ox-b20700.2","AT1G73890"
"Chir02Ox-b20730.2","AT1G73920"
"Chir02Ox-b20740.2","AT1G73930"
"Chir02Ox-b20750.2","AT1G73940"
"Chir02Ox-b20760.2","AT1G73950"
"Chir02Ox-b20770.2","AT1G73960"
"Chir02Ox-b20780.2","AT1G73965"
"Chir02Ox-b20790.2","AT1G73970"
"Chir02Ox-b20810.2","AT1G73980"
"Chir02Ox-b20820.2","AT1G73990"
"Chir02Ox-b20840.2","AT1G74000"
"Chir02Ox-b20850.2","AT1G74010"
"Chir02Ox-b20860.2","AT1G74020"
"Chir02Ox-b20870.2","AT1G74030"
"Chir02Ox-b20880.2","AT1G74040"
"Chir02Ox-b20890.2","AT1G74045"
"Chir02Ox-b20900.2","AT1G74050"
"Chir02Ox-b20910.2","AT1G74055"
"Chir02Ox-b20930.2","AT1G74070"
"Chir02Ox-b20940.2","AT1G74080"
"Chir02Ox-b20950.2","AT1G74090"
"Chir02Ox-b20960.2","AT1G74100"
"Chir02Ox-b20970.2","AT1G74110"
"Chir02Ox-b20980.2","AT1G74120"
"Chir02Ox-b20990.2","AT1G74130"
"Chir02Ox-b21000.2","AT1G74150"
"Chir02Ox-b21010.2","AT1G74160"
"Chir02Ox-b21030.2","AT1G74180"
"Chir02Ox-b21150.2","AT1G74210"
"Chir02Ox-b21160.2","AT1G74220"
"Chir02Ox-b21170.2","AT1G74230"
"Chir02Ox-b21180.2","AT1G74240"
"Chir02Ox-b21190.2","AT1G74250"
"Chir02Ox-b21200.2","AT1G74260"
"Chir02Ox-b21220.2","AT1G74190"
"Chir02Ox-b21240.2","AT1G74310"
"Chir02Ox-b21250.2","AT1G74320"
"Chir02Ox-b21260.2","AT1G74330"
"Chir02Ox-b21270.2","AT1G74340"
"Chir02Ox-b21280.2","AT1G74350"
"Chir02Ox-b21290.2","AT1G74360"
"Chir02Ox-b21300.2","AT1G74370"
"Chir02Ox-b21310.2","AT1G74380"
"Chir02Ox-b21320.2","AT1G74390"
"Chir02Ox-b21330.2","AT1G74400"
"Chir02Ox-b21340.2","AT1G74410"
"Chir02Ox-b21350.2","AT1G74420"
"Chir02Ox-b21370.2","AT1G74430"
"Chir02Ox-b21380.2","AT1G74440"
"Chir02Ox-b21390.2","AT1G74450"
"Chir02Ox-b21400.2","AT1G74458"
"Chir02Ox-b21410.2","AT1G74460"
"Chir02Ox-b21420.2","AT1G74470"
"Chir02Ox-b21440.2","AT1G74490"
"Chir02Ox-b21450.2","AT1G74500"
"Chir02Ox-b21470.2","AT1G74520"
"Chir02Ox-b21480.2","AT1G74530"
"Chir02Ox-b21490.2","AT1G74540"
"Chir02Ox-b21500.2","AT1G74550"
"Chir02Ox-b21520.2","AT1G74580"
"Chir02Ox-b21540.2","AT1G74590"
"Chir02Ox-b21550.2","AT1G74600"
"Chir02Ox-b21560.2","AT1G74620"
"Chir02Ox-b21570.2","AT1G74630"
"Chir02Ox-b21580.2","AT1G74640"
"Chir02Ox-b21590.2","AT1G74650"
"Chir02Ox-b21600.2","AT1G74660"
"Chir02Ox-b21610.2","AT1G74670"
"Chir02Ox-b21620.2","AT1G74680"
"Chir02Ox-b21630.2","AT1G74690"
"Chir02Ox-b21640.2","AT1G74700"
"Chir02Ox-b21650.2","AT1G74710"
"Chir02Ox-b21660.2","AT1G74720"
"Chir02Ox-b21680.2","AT1G74730"
"Chir02Ox-b21690.2","AT1G74740"
"Chir02Ox-b21700.2","AT1G74750"
"Chir02Ox-b21710.2","AT1G74770"
"Chir02Ox-b21720.2","AT1G74780"
"Chir02Ox-b21730.2","AT1G74790"
"Chir02Ox-b21750.2","AT1G74800"
"Chir02Ox-b21760.2","AT1G74830"
"Chir02Ox-b21770.2","AT1G74840"
"Chir02Ox-b21780.2","AT1G74850"
"Chir02Ox-b21790.2","AT1G74860"
"Chir02Ox-b21800.2","AT1G74870"
"Chir02Ox-b21810.2","AT1G74880"
"Chir02Ox-b21830.2","AT1G74900"
"Chir02Ox-b21840.2","AT1G74910"
"Chir02Ox-b21850.2","AT1G74920"
"Chir02Ox-b21860.2","AT1G74930"
"Chir02Ox-b21870.2","AT1G74940"
"Chir02Ox-b21880.2","AT1G74950"
"Chir02Ox-b21890.2","AT1G74960"
"Chir02Ox-b21900.2","AT1G74970"
"Chir02Ox-b21910.2","AT1G74990"
"Chir02Ox-b21920.2","AT1G75000"
"Chir02Ox-b21930.2","AT1G75010"
"Chir02Ox-b21940.2","AT1G75020"
"Chir02Ox-b21950.2","AT1G75030"
"Chir02Ox-b21980.2","AT1G75040"
"Chir02Ox-b21990.2","AT1G75050"
"Chir02Ox-b22000.2","AT1G75060"
"Chir02Ox-b22010.2","AT1G75080"
"Chir02Ox-b22020.2","AT1G75090"
"Chir02Ox-b22030.2","AT1G75100"
"Chir02Ox-b22070.2","AT1G75130"
"Chir02Ox-b22080.2","AT1G75140"
"Chir02Ox-b22090.2","AT1G75150"
"Chir02Ox-b22100.2","AT1G75160"
"Chir02Ox-b22110.2","AT1G75170"
"Chir02Ox-b22120.2","AT1G75180"
"Chir02Ox-b22130.2","AT1G75190"
"Chir02Ox-b22140.2","AT1G75200"
"Chir02Ox-b22150.2","AT1G75210"
"Chir02Ox-b22160.2","AT1G75220"
"Chir02Ox-b22170.2","AT1G75230"
"Chir02Ox-b22180.2","AT1G75240"
"Chir02Ox-b22190.2","AT1G75250"
"Chir02Ox-b22200.2","AT1G75260"
"Chir02Ox-b22220.2","AT1G75270"
"Chir02Ox-b22230.2","AT1G75280"
"Chir02Ox-b22240.2","AT1G75290"
"Chir02Ox-b22250.2","AT3G01325"
"Chir02Ox-b22270.2","AT1G75310"
"Chir02Ox-b22280.2","AT1G75330"
"Chir02Ox-b22300.2","AT1G75340"
"Chir02Ox-b22310.2","AT1G75350"
"Chir02Ox-b22320.2","AT1G75360"
"Chir02Ox-b22330.2","AT1G75370"
"Chir02Ox-b22340.2","AT1G75380"
"Chir02Ox-b22350.2","AT1G75390"
"Chir02Ox-b22360.2","AT1G75400"
"Chir02Ox-b22370.2","AT1G75410"
"Chir02Ox-b22380.2","AT1G75420"
"Chir02Ox-b22390.2","AT1G75430"
"Chir02Ox-b22410.2","AT1G75450"
"Chir02Ox-b22430.2","AT1G75490"
"Chir02Ox-b22440.2","AT1G75500"
"Chir02Ox-b22450.2","AT1G75510"
"Chir02Ox-b22460.2","AT1G75520"
"Chir02Ox-b22470.2","AT1G75530"
"Chir02Ox-b22480.2","AT1G75540"
"Chir02Ox-b22490.2","AT1G75550"
"Chir02Ox-b22500.2","AT1G75560"
"Chir02Ox-b22510.2","AT1G75580"
"Chir02Ox-b22520.2","AT1G75590"
"Chir02Ox-b22550.2","AT1G75620"
"Chir02Ox-b22570.2","AT1G75640"
"Chir02Ox-b22580.2","AT1G75660"
"Chir02Ox-b22590.2","AT1G75670"
"Chir02Ox-b22600.2","AT1G75680"
"Chir02Ox-b22620.2","AT1G75690"
"Chir02Ox-b22630.2","AT1G75700"
"Chir02Ox-b22640.2","AT1G75710"
"Chir02Ox-b22650.2","AT1G75717"
"Chir02Ox-b22660.2","AT1G75720"
"Chir02Ox-b22670.2","AT1G75730"
"Chir02Ox-b22680.2","AT1G75750"
"Chir02Ox-b22690.2","AT1G75760"
"Chir02Ox-b22710.2","AT1G75770"
"Chir02Ox-b22720.2","AT1G75780"
"Chir02Ox-b22730.2","AT1G75790"
"Chir02Ox-b22740.2","AT1G75800"
"Chir02Ox-b22750.2","AT1G75810"
"Chir02Ox-b22760.2","AT1G75820"
"Chir02Ox-b22790.2","AT5G44420"
"Chir02Ox-b22910.2","AT1G75840"
"Chir02Ox-b22920.2","AT1G75850"
"Chir02Ox-b22930.2","AT1G75860"
"Chir02Ox-b22940.2","AT1G75870"
"Chir02Ox-b22950.2","AT1G75880"
"Chir02Ox-b22960.2","AT1G75890"
"Chir02Ox-b22970.2","AT1G75900"
"Chir02Ox-b22980.2","AT1G75910"
"Chir02Ox-b22990.2","AT1G75920"
"Chir02Ox-b23000.2","AT1G75930"
"Chir02Ox-b23010.2","AT1G75940"
"Chir02Ox-b23020.2","AT1G75950"
"Chir02Ox-b23030.2","AT1G75980"
"Chir02Ox-b23060.2","AT1G76010"
"Chir02Ox-b23070.2","AT1G76020"
"Chir02Ox-b23080.2","AT1G76030"
"Chir02Ox-b23090.2","AT1G76040"
"Chir02Ox-b23100.2","AT1G76050"
"Chir02Ox-b23110.2","AT1G76065"
"Chir02Ox-b23120.2","AT1G76070"
"Chir02Ox-b23130.2","AT1G76080"
"Chir02Ox-b23140.2","AT1G76090"
"Chir02Ox-b23150.2","AT1G76100"
"Chir02Ox-b23160.2","AT1G76110"
"Chir02Ox-b23170.2","AT1G76120"
"Chir02Ox-b23180.2","AT1G76130"
"Chir02Ox-b23200.2","AT1G76140"
"Chir02Ox-b23210.2","AT1G76150"
"Chir02Ox-b23220.2","AT1G76160"
"Chir02Ox-b23230.2","AT2G44270"
"Chir02Ox-b23240.2","AT1G76180"
"Chir02Ox-b23260.2","AT1G76190"
"Chir02Ox-b23270.2","AT1G76200"
"Chir02Ox-b23280.2","AT1G76210"
"Chir02Ox-b23290.2","AT1G76220"
"Chir02Ox-b23300.2","AT1G76230"
"Chir02Ox-b23310.2","AT1G76240"
"Chir02Ox-b23320.2","AT1G76250"
"Chir02Ox-b23330.2","AT1G76260"
"Chir02Ox-b23340.2","AT1G76270"
"Chir02Ox-b23350.2","AT1G76280"
"Chir02Ox-b23430.2","AT1G76310"
"Chir02Ox-b23440.2","AT1G76320"
"Chir02Ox-b23450.2","AT1G76340"
"Chir02Ox-b23460.2","AT1G76350"
"Chir02Ox-b23470.2","AT1G76360"
"Chir02Ox-b23480.2","AT1G76370"
"Chir02Ox-b23490.2","AT1G76380"
"Chir02Ox-b23500.2","AT1G76390"
"Chir02Ox-b23510.2","AT1G76400"
"Chir02Ox-b23520.2","AT1G76405"
"Chir02Ox-b23530.2","AT1G76410"
"Chir02Ox-b23540.2","AT1G76420"
"Chir02Ox-b23550.2","AT1G76430"
"Chir02Ox-b23560.2","AT1G76440"
"Chir02Ox-b23570.2","AT1G76450"
"Chir02Ox-b23580.2","AT1G76460"
"Chir02Ox-b23590.2","AT1G76470"
"Chir02Ox-b23600.2","AT1G76490"
"Chir02Ox-b23610.2","AT1G76500"
"Chir02Ox-b23620.2","AT1G76510"
"Chir02Ox-b23630.2","AT1G76520"
"Chir02Ox-b23650.2","AT1G76540"
"Chir02Ox-b23660.2","AT1G76550"
"Chir02Ox-b23670.2","AT1G76560"
"Chir02Ox-b23680.2","AT1G76570"
"Chir02Ox-b23690.2","AT1G76580"
"Chir02Ox-b23700.2","AT1G76590"
"Chir02Ox-b23730.2","AT1G76600"
"Chir02Ox-b23740.2","AT1G76610"
"Chir02Ox-b23750.2","AT1G76620"
"Chir02Ox-b23760.2","AT1G76630"
"Chir02Ox-b23770.2","AT1G76640"
"Chir02Ox-b23780.2","AT1G76650"
"Chir02Ox-b23790.2","AT1G76660"
"Chir02Ox-b23800.2","AT1G76670"
"Chir02Ox-b23810.2","AT1G76680"
"Chir02Ox-b23820.2","AT1G76700"
"Chir02Ox-b23830.2","AT1G76710"
"Chir02Ox-b23840.2","AT1G76730"
"Chir02Ox-b23850.2","AT1G76740"
"Chir02Ox-b23860.2","AT1G76750"
"Chir02Ox-b23870.2","AT1G76760"
"Chir02Ox-b23880.2","AT1G76770"
"Chir02Ox-b23890.2","AT1G76780"
"Chir02Ox-b23900.2","AT1G76790"
"Chir02Ox-b23910.2","AT1G76800"
"Chir02Ox-b23920.2","AT1G76810"
"Chir02Ox-b23930.2","AT1G76850"
"Chir02Ox-b23940.2","AT1G76860"
"Chir02Ox-b23960.2","AT1G76880"
"Chir02Ox-b23970.2","AT1G76890"
"Chir02Ox-b23980.2","AT1G76900"
"Chir02Ox-b24000.2","AT1G76920"
"Chir02Ox-b24010.2","AT1G76940"
"Chir02Ox-b24020.2","AT1G76950"
"Chir02Ox-b24030.2","AT1G76952"
"Chir02Ox-b24040.2","AT1G76955"
"Chir02Ox-b24050.2","AT1G76965"
"Chir02Ox-b24070.2","AT1G76980"
"Chir02Ox-b24110.2","AT1G77010"
"Chir02Ox-b24120.2","AT1G76990"
"Chir02Ox-b24130.2","AT1G77000"
"Chir02Ox-b24140.2","AT1G77020"
"Chir02Ox-b24150.2","AT1G77030"
"Chir02Ox-b24160.2","AT1G77090"
"Chir02Ox-b24170.2","AT1G77100"
"Chir02Ox-b24180.2","AT1G77110"
