PeakID	Chr	Start	End	Strand	Peak.Score	Focus.Ratio.Region.Size	Annotation	Detailed.Annotation	Distance.to.TSS	Nearest.PromoterID	Chi_ID	Ath_ID
Peak2692	Chr8	17794808	17797066	+	0	NA	promoter-TSS	NA	-521	Chir08Ox_b24520.2_T001	Chir08Ox_b24520.2	AT5G61990
Peak2693	Chr7	5040418	5041165	+	0	NA	exon	NA	286	Chir07Ox_b06200.2_T002	Chir07Ox_b06200.2	NA
Peak2694	Chr2	6449252	6449863	+	0	NA	exon	NA	663	Chir02Ox_b08540.2_T001	Chir02Ox_b08540.2	NA
Peak2695	Chr2	2667895	2668517	+	0	NA	promoter-TSS	NA	-821	Chir02Ox_b04750.2_T001	Chir02Ox_b04750.2	NA
Peak2696	Chr5	21921387	21922435	+	0	NA	promoter-TSS	NA	-304	Chir05Ox_b22700.2_T001	Chir05Ox_b22700.2	AT3G57070
Peak2697	Chr1	8278658	8280878	+	0	NA	TTS	NA	1687	Chir01Ox_b23070.2_T001	Chir01Ox_b23070.2	AT1G23205
Peak2698	Chr7	24834331	24835095	+	0	NA	promoter-TSS	NA	-2322	Chir07Ox_b31970.2_T001	Chir07Ox_b31970.2	AT4G34590
Peak2699	Chr2	1063514	1065155	+	0	NA	promoter-TSS	NA	-880	Chir02Ox_b01900.2_T001	Chir02Ox_b01900.2	AT1G63245
Peak2700	Chr7	4013000	4014341	+	0	NA	promoter-TSS	NA	-661	Chir07Ox_b05270.2_T001	Chir07Ox_b05270.2	AT5G37770
Peak2701	Chr4	23473025	23473954	+	0	NA	promoter-TSS	NA	-407	Chir04Ox_b24910.2_T001	Chir04Ox_b24910.2	AT2G42140
Peak2702	Chr4	1943988	1945176	+	0	NA	promoter-TSS	NA	-2612	Chir04Ox_b02400.2_T001	Chir04Ox_b02400.2	AT2G23170
Peak2703	Chr4	17977199	17977798	+	0	NA	promoter-TSS	NA	-121	Chir04Ox_b12480.2_T001	Chir04Ox_b12480.2	AT2G30700
Peak2704	Chr6	24667370	24668600	+	0	NA	promoter-TSS	NA	-357	Chir06Ox_b34000.2_T001	Chir06Ox_b34000.2	AT5G04950
Peak2705	Chr1	4738369	4740331	+	0	NA	promoter-TSS	NA	-747	Chir01Ox_b13390.2_T001	Chir01Ox_b13390.2	NA
Peak2706	Chr5	1479431	1480319	+	0	NA	promoter-TSS	NA	-435	Chir05Ox_b02670.2_T001	Chir05Ox_b02670.2	AT2G03980
Peak2707	Chr1	7483360	7484030	+	0	NA	TTS	NA	925	Chir01Ox_b21100.2_T001	Chir01Ox_b21100.2	AT1G21327
Peak2708	Chr8	14627696	14629156	+	0	NA	promoter-TSS	NA	-774	Chir08Ox_b16550.2_T001	Chir08Ox_b16550.2	AT5G54590
Peak2709	Chr7	26148980	26149581	+	0	NA	promoter-TSS	NA	-1508	Chir07Ox_b35320.2_T001	Chir07Ox_b35320.2	AT4G37880
Peak2710	Chr1	11886993	11887666	+	0	NA	promoter-TSS	NA	-160	Chir01Ox_b30170.2_T001	Chir01Ox_b30170.2	NA
Peak2711	Chr3	987382	988719	+	0	NA	TTS	NA	177	Chir03Ox_b03090.2_T001	Chir03Ox_b03090.2	AT3G03870
Peak2712	Chr3	18551990	18553330	+	0	NA	exon	NA	541	Chir03Ox_b29660.2_T001	Chir03Ox_b29660.2	AT2G15580
Peak2713	Chr3	4223994	4226200	+	0	NA	promoter-TSS	NA	-1417	Chir03Ox_b12350.2_T001	Chir03Ox_b12350.2	AT3G13110
Peak2714	Chr5	20259915	20260521	+	0	NA	promoter-TSS	NA	-136	Chir05Ox_b18400.2_T001	Chir05Ox_b18400.2	AT3G52870
Peak2715	Chr1	11749356	11749993	+	0	NA	Intergenic	NA	-3148	Chir01Ox_b29970.2_T002	Chir01Ox_b29970.2	AT1G31360
Peak2716	Chr7	23881437	23882452	+	0	NA	TTS	NA	1531	Chir07Ox_b29600.2_T002	Chir07Ox_b29600.2	AT4G32340
Peak2717	Chr8	10306545	10307122	+	0	NA	exon	NA	1217	Chir08Ox_b11410.2_T002	Chir08Ox_b11410.2	AT5G50290
Peak2718	Chr3	21699976	21700977	+	0	NA	promoter-TSS	NA	-366	Chir03Ox_b32780.2_T001	Chir03Ox_b32780.2	NA
Peak2719	Chr5	16931295	16931922	+	0	NA	promoter-TSS	NA	-285	Chir05Ox_b12140.2_T001	Chir05Ox_b12140.2	AT3G47340
Peak2720	Chr5	17748428	17749621	+	0	NA	Intergenic	NA	5235	Chir05Ox_b13500.2_T001	Chir05Ox_b13500.2	AT3G48550
Peak2721	Chr5	16616688	16617643	+	0	NA	promoter-TSS	NA	-458	Chir05Ox_b11660.2_T001	Chir05Ox_b11660.2	NA
Peak2722	Chr5	20734582	20735294	+	0	NA	promoter-TSS	NA	-50	Chir05Ox_b19620.2_T002	Chir05Ox_b19620.2	AT3G54140
Peak2723	Chr2	3031845	3032519	+	0	NA	TTS	NA	171	Chir02Ox_b05380.2_T001	Chir02Ox_b05380.2	NA
Peak2724	Chr2	16263803	16264404	+	0	NA	promoter-TSS	NA	18	Chir02Ox_b13170.2_T001	Chir02Ox_b13170.2	AT1G67060
Peak2725	Chr8	16064693	16065278	+	0	NA	promoter-TSS	NA	-2866	Chir08Ox_b19860.2_T001	Chir08Ox_b19860.2	AT5G57685
Peak2726	Chr1	26825396	26826617	+	0	NA	promoter-TSS	NA	-305	Chir01Ox_b42830.2_T001	Chir01Ox_b42830.2	AT1G53920
Peak2727	Chr8	17112961	17113793	+	0	NA	intron	NA	1236	Chir08Ox_b22780.2_T001	Chir08Ox_b22780.2	AT5G60300
Peak2728	Chr6	25878025	25879211	+	0	NA	promoter-TSS	NA	-731	Chir06Ox_b37130.2_T001	Chir06Ox_b37130.2	NA
Peak2729	Chr5	20743192	20744181	+	0	NA	exon	NA	252	Chir05Ox_b19640.2_T002	Chir05Ox_b19640.2	AT3G54150
Peak2730	Chr5	18996999	18998571	+	0	NA	exon	NA	592	Chir05Ox_b15480.2_T001	Chir05Ox_b15480.2	AT3G50260
Peak2731	Chr3	17739236	17740070	+	0	NA	promoter-TSS	NA	-34	Chir03Ox_b29250.2_T001	Chir03Ox_b29250.2	AT2G15080
Peak2732	Chr6	25633036	25634232	+	0	NA	TTS	NA	1875	Chir06Ox_b36520.2_T001	Chir06Ox_b36520.2	AT5G02450
Peak2733	Chr1	4205283	4206101	+	0	NA	promoter-TSS	NA	-1490	Chir01Ox_b11980.2_T001	Chir01Ox_b11980.2	AT1G12030
Peak2734	Chr2	22357470	22358576	+	0	NA	promoter-TSS	NA	-621	Chir02Ox_b25980.2_T001	Chir02Ox_b25980.2	AT1G78850
Peak2735	Chr2	16226226	16227572	+	0	NA	TTS	NA	1861	Chir02Ox_b13140.2_T001	Chir02Ox_b13140.2	AT1G67050
Peak2736	Chr3	11788162	11788737	+	0	NA	promoter-TSS	NA	-162	Chir03Ox_b26770.2_T001	Chir03Ox_b26770.2	AT2G04780
Peak2737	Chr1	15274398	15275880	+	0	NA	Intergenic	NA	6143	Chir01Ox_b33160.2_T002	Chir01Ox_b33160.2	AT1G35190
Peak2738	Chr1	13016271	13017616	+	0	NA	promoter-TSS	NA	-531	Chir01Ox_b31650.2_T001	Chir01Ox_b31650.2	AT1G33055
Peak2739	Chr8	2207819	2208854	+	0	NA	promoter-TSS	NA	-1065	Chir08Ox_b04800.2_T001	Chir08Ox_b04800.2	AT4G04460
Peak2740	Chr1	4069894	4071201	+	0	NA	promoter-TSS	NA	-2330	Chir01Ox_b11560.2_T001	Chir01Ox_b11560.2	AT1G11700
Peak2741	Chr2	17272042	17272839	+	0	NA	promoter-TSS	NA	-36	Chir02Ox_b14430.2_T001	Chir02Ox_b14430.2	AT1G68130
Peak2742	Chr5	1590713	1591704	+	0	NA	promoter-TSS	NA	-1578	Chir05Ox_b02890.2_T001	Chir05Ox_b02890.2	AT3G25610
Peak2743	Chr7	23948242	23949085	+	0	NA	TTS	NA	1852	Chir07Ox_b29760.2_T001	Chir07Ox_b29760.2	AT4G32490
Peak2744	Chr6	13214622	13215960	+	0	NA	promoter-TSS	NA	-1507	Chir06Ox_b10120.2_T001	Chir06Ox_b10120.2	AT5G53690
Peak2745	Chr1	20709897	20710458	+	0	NA	exon	NA	1474	Chir01Ox_b34720.2_T001	Chir01Ox_b34720.2	AT1G43650
Peak2746	Chr7	17579584	17581083	+	0	NA	Intergenic	NA	-3850	Chir07Ox_b14190.2_T002	Chir07Ox_b14190.2	AT4G17460
Peak2747	Chr2	21420710	21421530	+	0	NA	TTS	NA	2208	Chir02Ox_b23680.2_T002	Chir02Ox_b23680.2	AT1G76570
Peak2748	Chr1	8989006	8989652	+	0	NA	intron	NA	2574	Chir01Ox_b24510.2_T001	Chir01Ox_b24510.2	AT1G26730
Peak2749	Chr6	4137085	4137583	+	0	NA	promoter-TSS	NA	-88	Chir06Ox_b05530.2_T001	Chir06Ox_b05530.2	AT5G43770
Peak2750	Chr2	20641109	20642246	+	0	NA	promoter-TSS	NA	-516	Chir02Ox_b21610.2_T001	Chir02Ox_b21610.2	AT1G74670
Peak2751	Chr4	18465970	18466736	+	0	NA	promoter-TSS	NA	-400	Chir04Ox_b13470.2_T001	Chir04Ox_b13470.2	AT2G31660
Peak2752	Chr5	19414393	19414846	+	0	NA	Intergenic	NA	-3695	Chir05Ox_b16230.2_T001	Chir05Ox_b16230.2	AT3G50870
Peak2753	Chr8	19501708	19502364	+	0	NA	promoter-TSS	NA	-674	Chir08Ox_b29100.2_T001	Chir08Ox_b29100.2	AT5G67210
Peak2754	Chr7	1599320	1600525	+	0	NA	promoter-TSS	NA	-417	Chir07Ox_b02530.2_T002	Chir07Ox_b02530.2	NA
Peak2755	Chr1	6146508	6147653	+	0	NA	promoter-TSS	NA	-462	Chir01Ox_b17580.2_T001	Chir01Ox_b17580.2	AT1G17500
Peak2756	Chr1	9268790	9269653	+	0	NA	TTS	NA	2034	Chir01Ox_b25180.2_T002	Chir01Ox_b25180.2	AT1G25550
Peak2757	Chr8	14648609	14650064	+	0	NA	promoter-TSS	NA	-1411	Chir08Ox_b16590.2_T001	Chir08Ox_b16590.2	AT5G54620
Peak2758	Chr1	3890492	3891131	+	0	NA	TTS	NA	2127	Chir01Ox_b11080.2_T001	Chir01Ox_b11080.2	NA
Peak2759	Chr7	18603928	18604904	+	0	NA	intron	NA	1144	Chir07Ox_b16320.2_T001	Chir07Ox_b16320.2	AT4G19450
Peak2760	Chr8	18355787	18358071	+	0	NA	promoter-TSS	NA	-1041	Chir08Ox_b25990.2_T001	Chir08Ox_b25990.2	AT5G63450
Peak2761	Chr2	17848829	17849674	+	0	NA	promoter-TSS	NA	-320	Chir02Ox_b15350.2_T002	Chir02Ox_b15350.2	AT1G68920
Peak2762	Chr7	17686089	17686713	+	0	NA	promoter-TSS	NA	-83	Chir07Ox_b14500.2_T001	Chir07Ox_b14500.2	AT4G17670
Peak2763	Chr6	10820285	10820905	+	0	NA	exon	NA	127	Chir06Ox_b08960.2_T001	Chir06Ox_b08960.2	NA
Peak2764	Chr4	17143549	17144428	+	0	NA	intron	NA	1223	Chir04Ox_b10820.2_T001	Chir04Ox_b10820.2	NA
Peak2765	Chr4	19638613	19639992	+	0	NA	promoter-TSS	NA	-459	Chir04Ox_b16160.2_T001	Chir04Ox_b16160.2	AT2G34010
Peak2766	Chr6	16381676	16382412	+	0	NA	promoter-TSS	NA	-1040	Chir06Ox_b13280.2_T001	Chir06Ox_b13280.2	AT5G26670
Peak2767	Chr6	25789536	25790354	+	0	NA	promoter-TSS	NA	-1004	Chir06Ox_b36920.2_T001	Chir06Ox_b36920.2	AT5G02020
Peak2768	Chr7	2031234	2031930	+	0	NA	Intergenic	NA	-3690	Chir07Ox_b03170.2_T001	Chir07Ox_b03170.2	AT5G39610
Peak2769	Chr2	15128855	15129693	+	0	NA	Intergenic	NA	5989	Chir02Ox_b12240.2_T001	Chir02Ox_b12240.2	AT1G66390
Peak2770	Chr3	8728915	8729645	+	0	NA	Intergenic	NA	-7652	Chir03Ox_b23340.2_T001	Chir03Ox_b23340.2	AT3G23250
Peak2771	Chr3	1288880	1290066	+	0	NA	promoter-TSS	NA	-561	Chir03Ox_b03950.2_T001	Chir03Ox_b03950.2	AT3G04670
Peak2772	Chr2	20893235	20894922	+	0	NA	promoter-TSS	NA	-626	Chir02Ox_b22340.2_T001	Chir02Ox_b22340.2	AT1G75380
Peak2773	Chr7	18362268	18363465	+	0	NA	promoter-TSS	NA	-357	Chir07Ox_b15830.2_T002	Chir07Ox_b15830.2	AT4G18890
Peak2774	Chr5	21457876	21459274	+	0	NA	promoter-TSS	NA	-1644	Chir05Ox_b21390.2_T001	Chir05Ox_b21390.2	NA
Peak2775	Chr4	1578954	1580675	+	0	NA	promoter-TSS	NA	-562	Chir04Ox_b02080.2_T001	Chir04Ox_b02080.2	AT2G22670
Peak2776	Chr2	2717841	2718481	+	0	NA	exon	NA	581	Chir02Ox_b04860.2_T001	Chir02Ox_b04860.2	NA
Peak2777	Chr2	2940991	2941495	+	0	NA	exon	NA	1092	Chir02Ox_b05210.2_T001	Chir02Ox_b05210.2	AT1G60870
Peak2778	Chr2	14541312	14542728	+	0	NA	Intergenic	NA	5604	Chir02Ox_b12090.2_T001	Chir02Ox_b12090.2	AT1G66230
Peak2779	Chr2	22761128	22761671	+	0	NA	promoter-TSS	NA	-98	Chir02Ox_b26950.2_T001	Chir02Ox_b26950.2	AT1G79720
Peak2780	Chr4	16914072	16915847	+	0	NA	promoter-TSS	NA	-484	Chir04Ox_b10590.2_T002	Chir04Ox_b10590.2	AT2G28930
Peak2781	Chr2	1239477	1240140	+	0	NA	TTS	NA	2027	Chir02Ox_b02240.2_T001	Chir02Ox_b02240.2	AT1G63030
Peak2782	Chr4	18233183	18234383	+	0	NA	promoter-TSS	NA	-1049	Chir04Ox_b12930.2_T002	Chir04Ox_b12930.2	AT2G31110
Peak2783	Chr2	16540582	16541748	+	0	NA	promoter-TSS	NA	-450	Chir02Ox_b13370.2_T001	Chir02Ox_b13370.2	AT1G67265
Peak2784	Chr1	5503276	5503901	+	0	NA	promoter-TSS	NA	233	Chir01Ox_b15640.2_T001	Chir01Ox_b15640.2	AT1G15530
Peak2785	Chr8	18281722	18282609	+	0	NA	promoter-TSS	NA	-1307	Chir08Ox_b25740.2_T001	Chir08Ox_b25740.2	AT5G63180
Peak2786	Chr6	3130108	3130791	+	0	NA	TTS	NA	1460	Chir06Ox_b04420.2_T001	Chir06Ox_b04420.2	AT1G09360
Peak2787	Chr5	20413964	20414766	+	0	NA	intron	NA	1299	Chir05Ox_b18780.2_T001	Chir05Ox_b18780.2	AT3G53190
Peak2788	Chr1	26435883	26437163	+	0	NA	TTS	NA	1336	Chir01Ox_b42050.2_T001	Chir01Ox_b42050.2	AT1G53170
Peak2789	Chr6	21007725	21008621	+	0	NA	promoter-TSS	NA	-1178	Chir06Ox_b24070.2_T001	Chir06Ox_b24070.2	AT5G15300
Peak2790	Chr6	20583852	20584555	+	0	NA	TTS	NA	1701	Chir06Ox_b22840.2_T001	Chir06Ox_b22840.2	AT5G16480
Peak2791	Chr1	3183690	3184628	+	0	NA	promoter-TSS	NA	-81	Chir01Ox_b09150.2_T001	Chir01Ox_b09150.2	AT1G09560
Peak2792	Chr1	5481923	5482949	+	0	NA	promoter-TSS	NA	-340	Chir01Ox_b15600.2_T001	Chir01Ox_b15600.2	AT1G15500
Peak2793	Chr6	24347115	24347800	+	0	NA	promoter-TSS	NA	-843	Chir06Ox_b33080.2_T001	Chir06Ox_b33080.2	NA
Peak2794	Chr2	19363955	19365523	+	0	NA	Intergenic	NA	-9727	Chir02Ox_b18440.2_T001	Chir02Ox_b18440.2	AT1G71870
Peak2795	Chr6	2883565	2884106	+	0	NA	promoter-TSS	NA	-1204	Chir06Ox_b04250.2_T001	Chir06Ox_b04250.2	AT5G44620
Peak2796	Chr4	24911657	24912241	+	0	NA	promoter-TSS	NA	-884	Chir04Ox_b28820.2_T001	Chir04Ox_b28820.2	AT2G45910
Peak2797	Chr7	23466357	23466837	+	0	NA	promoter-TSS	NA	51	Chir07Ox_b28460.2_T001	Chir07Ox_b28460.2	AT4G31180
Peak2798	Chr4	24634913	24635605	+	0	NA	exon	NA	918	Chir04Ox_b28050.2_T001	Chir04Ox_b28050.2	AT2G45210
Peak2799	Chr5	23064399	23065080	+	0	NA	promoter-TSS	NA	40	Chir05Ox_b25840.2_T001	Chir05Ox_b25840.2	AT3G60080
Peak2800	Chr8	18274381	18276316	+	0	NA	promoter-TSS	NA	-1640	Chir08Ox_b25720.2_T002	Chir08Ox_b25720.2	AT5G63160
Peak2801	Chr5	16731795	16732587	+	0	NA	promoter-TSS	NA	-164	Chir05Ox_b11860.2_T001	Chir05Ox_b11860.2	AT3G46970
Peak2802	Chr4	3009244	3010218	+	0	NA	TTS	NA	2749	Chir04Ox_b03100.2_T001	Chir04Ox_b03100.2	AT2G23690
Peak2803	Chr5	20812462	20813853	+	0	NA	intron	NA	2514	Chir05Ox_b19810.2_T001	Chir05Ox_b19810.2	AT3G54320
Peak2804	Chr1	10757433	10758272	+	0	NA	promoter-TSS	NA	-1707	Chir01Ox_b28400.2_T001	Chir01Ox_b28400.2	AT1G30200
Peak2805	Chr3	6546913	6547818	+	0	NA	promoter-TSS	NA	-426	Chir03Ox_b18590.2_T001	Chir03Ox_b18590.2	AT3G18750
Peak2806	Chr1	5023106	5023714	+	0	NA	promoter-TSS	NA	-120	Chir01Ox_b14290.2_T001	Chir01Ox_b14290.2	AT1G14280
Peak2807	Chr7	25637128	25639315	+	0	NA	promoter-TSS	NA	-1719	Chir07Ox_b34150.2_T001	Chir07Ox_b34150.2	AT4G36710
Peak2808	Chr7	13727282	13728909	+	0	NA	intron	NA	680	Chir07Ox_b09260.2_T001	Chir07Ox_b09260.2	AT4G13660
Peak2809	Chr2	18788174	18789179	+	0	NA	promoter-TSS	NA	-134	Chir02Ox_b17050.2_T001	Chir02Ox_b17050.2	AT1G70520
Peak2810	Chr7	16503066	16504522	+	0	NA	promoter-TSS	NA	-393	Chir07Ox_b12060.2_T001	Chir07Ox_b12060.2	AT4G15610
Peak2811	Chr7	26645698	26646443	+	0	NA	promoter-TSS	NA	-247	Chir07Ox_b36690.2_T001	Chir07Ox_b36690.2	AT4G39030
Peak2812	Chr7	21883072	21885191	+	0	NA	Intergenic	NA	-3452	Chir07Ox_b24410.2_T001	Chir07Ox_b24410.2	AT4G27260
Peak2813	Chr7	14730231	14731214	+	0	NA	exon	NA	215	Chir07Ox_b10000.2_T002	Chir07Ox_b10000.2	AT4G14200
Peak2814	Chr6	24128741	24129320	+	0	NA	intron	NA	930	Chir06Ox_b32460.2_T001	Chir06Ox_b32460.2	AT5G06530
Peak2815	Chr5	18405856	18406441	+	0	NA	promoter-TSS	NA	-208	Chir05Ox_b14840.2_T001	Chir05Ox_b14840.2	AT3G49780
Peak2816	Chr5	17901311	17901986	+	0	NA	TTS	NA	170	Chir05Ox_b13820.2_T001	Chir05Ox_b13820.2	AT3G48890
Peak2817	Chr1	10140354	10141242	+	0	NA	promoter-TSS	NA	-2560	Chir01Ox_b27110.2_T001	Chir01Ox_b27110.2	AT1G28360
Peak2818	Chr5	17148492	17149097	+	0	NA	promoter-TSS	NA	-1441	Chir05Ox_b12490.2_T001	Chir05Ox_b12490.2	AT3G47620
Peak2819	Chr6	25309518	25310265	+	0	NA	promoter-TSS	NA	-2432	Chir06Ox_b35610.2_T001	Chir06Ox_b35610.2	AT5G03370
Peak2820	Chr3	5534894	5535558	+	0	NA	intron	NA	1690	Chir03Ox_b15950.2_T001	Chir03Ox_b15950.2	AT3G16180
Peak2821	Chr1	8888262	8889329	+	0	NA	promoter-TSS	NA	-81	Chir01Ox_b24290.2_T001	Chir01Ox_b24290.2	AT1G26920
Peak2822	Chr5	14658050	14658680	+	0	NA	Intergenic	NA	-7537	Chir05Ox_b09630.2_T001	Chir05Ox_b09630.2	AT3G44940
Peak2823	Chr7	15138920	15139835	+	0	NA	intron	NA	785	Chir07Ox_b10430.2_T001	Chir07Ox_b10430.2	AT4G14500
Peak2824	Chr3	1794429	1795925	+	0	NA	promoter-TSS	NA	-919	Chir03Ox_b05340.2_T001	Chir03Ox_b05340.2	NA
Peak2825	Chr1	24706624	24707255	+	0	NA	exon	NA	138	Chir01Ox_b38780.2_T001	Chir01Ox_b38780.2	AT1G49820
Peak2826	Chr8	19634924	19637674	+	0	NA	promoter-TSS	NA	-1107	Chir08Ox_b29430.2_T001	Chir08Ox_b29430.2	AT5G66950
Peak2827	Chr4	25417711	25418857	+	0	NA	promoter-TSS	NA	-496	Chir04Ox_b30080.2_T001	Chir04Ox_b30080.2	NA
Peak2828	Chr8	14601951	14602964	+	0	NA	promoter-TSS	NA	-1772	Chir08Ox_b16480.2_T001	Chir08Ox_b16480.2	AT5G54520
Peak2829	Chr7	23360734	23361220	+	0	NA	promoter-TSS	NA	-2386	Chir07Ox_b28190.2_T002	Chir07Ox_b28190.2	AT4G30950
Peak2830	Chr1	4809253	4811403	+	0	NA	promoter-TSS	NA	-1455	Chir01Ox_b13640.2_T001	Chir01Ox_b13640.2	NA
Peak2831	Chr6	18111734	18112367	+	0	NA	promoter-TSS	NA	-114	Chir06Ox_b16680.2_T001	Chir06Ox_b16680.2	NA
Peak2832	Chr7	25812001	25812606	+	0	NA	promoter-TSS	NA	-178	Chir07Ox_b34580.2_T002	Chir07Ox_b34580.2	AT4G36960
Peak2833	Chr7	20022785	20023327	+	0	NA	exon	NA	277	Chir07Ox_b19570.2_T001	Chir07Ox_b19570.2	AT4G22810
Peak2834	Chr6	24718501	24719430	+	0	NA	TTS	NA	2223	Chir06Ox_b34140.2_T002	Chir06Ox_b34140.2	AT5G04830
Peak2835	Chr3	2783960	2784591	+	0	NA	promoter-TSS	NA	-181	Chir03Ox_b08190.2_T001	Chir03Ox_b08190.2	AT3G08960
Peak2836	Chr1	9370188	9371672	+	0	NA	Intergenic	NA	3005	Chir01Ox_b25410.2_T001	Chir01Ox_b25410.2	AT1G25340
Peak2837	Chr1	4645653	4646535	+	0	NA	promoter-TSS	NA	-280	Chir01Ox_b13190.2_T001	Chir01Ox_b13190.2	AT1G13220
Peak2838	Chr7	26145380	26146008	+	0	NA	promoter-TSS	NA	-101	Chir07Ox_b35310.2_T001	Chir07Ox_b35310.2	AT4G37870
Peak2839	Chr2	19984523	19985138	+	0	NA	intron	NA	982	Chir02Ox_b19940.2_T001	Chir02Ox_b19940.2	AT1G73210
Peak2840	Chr3	2162379	2163428	+	0	NA	promoter-TSS	NA	-197	Chir03Ox_b06350.2_T001	Chir03Ox_b06350.2	AT3G06770
Peak2841	Chr3	23110824	23111480	+	0	NA	promoter-TSS	NA	-223	Chir03Ox_b34700.2_T001	Chir03Ox_b34700.2	NA
Peak2842	Chr8	17461129	17462164	+	0	NA	TTS	NA	954	Chir08Ox_b23610.2_T001	Chir08Ox_b23610.2	NA
Peak2843	Chr1	23160925	23161649	+	0	NA	TTS	NA	4201	Chir01Ox_b36610.2_T001	Chir01Ox_b36610.2	AT1G48000
Peak2844	Chr7	4943352	4944342	+	0	NA	promoter-TSS	NA	-237	Chir07Ox_b06140.2_T001	Chir07Ox_b06140.2	AT5G37020
Peak2845	Chr6	5882382	5883165	+	0	NA	intron	NA	2064	Chir06Ox_b06990.2_T001	Chir06Ox_b06990.2	AT5G42930
Peak2846	Chr7	25947676	25949413	+	0	NA	promoter-TSS	NA	-773	Chir07Ox_b34890.2_T001	Chir07Ox_b34890.2	NA
Peak2847	Chr8	16504353	16505533	+	0	NA	promoter-TSS	NA	-1160	Chir08Ox_b21160.2_T001	Chir08Ox_b21160.2	AT5G58900
Peak2848	Chr1	12572422	12573059	+	0	NA	exon	NA	361	Chir01Ox_b31180.2_T001	Chir01Ox_b31180.2	AT1G32460
Peak2849	Chr3	7032850	7033610	+	0	NA	promoter-TSS	NA	-117	Chir03Ox_b19690.2_T001	Chir03Ox_b19690.2	AT3G19850
Peak2850	Chr6	20050307	20052415	+	0	NA	promoter-TSS	NA	-1414	Chir06Ox_b21450.2_T001	Chir06Ox_b21450.2	AT5G17860
Peak2851	Chr7	20074006	20075513	+	0	NA	promoter-TSS	NA	-745	Chir07Ox_b19730.2_T001	Chir07Ox_b19730.2	AT4G22950
Peak2852	Chr7	15754301	15754977	+	0	NA	TTS	NA	1984	Chir07Ox_b10860.2_T001	Chir07Ox_b10860.2	AT4G14730
Peak2853	Chr7	25790201	25790960	+	0	NA	promoter-TSS	NA	-455	Chir07Ox_b34520.2_T001	Chir07Ox_b34520.2	AT4G37030
Peak2854	Chr3	7804691	7806124	+	0	NA	promoter-TSS	NA	-673	Chir03Ox_b21500.2_T001	Chir03Ox_b21500.2	AT3G21352
Peak2855	Chr8	16899447	16900115	+	0	NA	promoter-TSS	NA	-1727	Chir08Ox_b22180.2_T003	Chir08Ox_b22180.2	AT5G59780
Peak2856	Chr1	24444039	24444830	+	0	NA	promoter-TSS	NA	-335	Chir01Ox_b38390.2_T001	Chir01Ox_b38390.2	AT1G49470
Peak2857	Chr1	4472131	4472871	+	0	NA	promoter-TSS	NA	-35	Chir01Ox_b12690.2_T001	Chir01Ox_b12690.2	NA
Peak2858	Chr6	3723689	3724747	+	0	NA	promoter-TSS	NA	-365	Chir06Ox_b05100.2_T002	Chir06Ox_b05100.2	AT5G44080
Peak2859	Chr1	11071365	11071993	+	0	NA	Intergenic	NA	10438	Chir01Ox_b28860.2_T001	Chir01Ox_b28860.2	AT5G31412
Peak2860	Chr8	2469075	2470020	+	0	NA	promoter-TSS	NA	-415	Chir08Ox_b05430.2_T001	Chir08Ox_b05430.2	AT4G12490
Peak2861	Chr5	23094465	23094931	+	0	NA	intron	NA	1567	Chir05Ox_b25900.2_T001	Chir05Ox_b25900.2	AT3G60140
Peak2862	Chr5	3829932	3833397	+	0	NA	promoter-TSS	NA	-1584	Chir05Ox_b05840.2_T001	Chir05Ox_b05840.2	AT3G28180
Peak2863	Chr5	14799393	14800468	+	0	NA	promoter-TSS	NA	-498	Chir05Ox_b09740.2_T001	Chir05Ox_b09740.2	AT3G45060
Peak2864	Chr4	1601605	1602999	+	0	NA	TTS	NA	3332	Chir04Ox_b02090.2_T002	Chir04Ox_b02090.2	AT2G22680
Peak2865	Chr8	16381404	16383746	+	0	NA	promoter-TSS	NA	-664	Chir08Ox_b20790.2_T001	Chir08Ox_b20790.2	AT5G58580
Peak2866	Chr6	21074755	21075667	+	0	NA	Intergenic	NA	-3315	Chir06Ox_b24240.2_T001	Chir06Ox_b24240.2	AT5G15130
Peak2867	Chr7	25908711	25909264	+	0	NA	promoter-TSS	NA	-6	Chir07Ox_b34800.2_T001	Chir07Ox_b34800.2	AT4G37380
Peak2868	Chr5	3049901	3051057	+	0	NA	promoter-TSS	NA	-2417	Chir05Ox_b05270.2_T001	Chir05Ox_b05270.2	AT3G27660
Peak2869	Chr8	18001644	18003852	+	0	NA	promoter-TSS	NA	-731	Chir08Ox_b25060.2_T001	Chir08Ox_b25060.2	AT5G62560
Peak2870	Chr4	24576091	24577826	+	0	NA	promoter-TSS	NA	-393	Chir04Ox_b27910.2_T001	Chir04Ox_b27910.2	NA
Peak2871	Chr8	15199517	15200850	+	0	NA	TTS	NA	3933	Chir08Ox_b18030.2_T001	Chir08Ox_b18030.2	AT5G56040
Peak2872	Chr8	17647931	17648615	+	0	NA	TTS	NA	1610	Chir08Ox_b24140.2_T001	Chir08Ox_b24140.2	AT5G61590
Peak2873	Chr5	9888777	9889374	+	0	NA	Intergenic	NA	-3242	Chir05Ox_b08170.2_T001	Chir05Ox_b08170.2	AT3G43230
