"PeakID","Chr","Start","End","Strand","Peak.Score","Focus.Ratio.Region.Size","Annotation","Detailed.Annotation","Distance.to.TSS","Nearest.PromoterID","Chi_ID","Ath_ID","CH_ID"
"Peak11046","Chr6",3026804,3027123,"+",0,NA,"Intergenic",NA,2741,"Chir06Ox_b04340.2_T002","Chir06Ox_b04340.2","AT5G44578","Chir06Ox-b04340.2"
"Peak11066","Chr6",3030655,3031696,"+",0,NA,"promoter-TSS",NA,-1471,"Chir06Ox_b04340.2_T001","Chir06Ox_b04340.2","AT5G44578","Chir06Ox-b04340.2"
"Peak11076","Chr4",20138239,20138628,"+",0,NA,"promoter-TSS",NA,-40,"Chir04Ox_b17280.2_T001","Chir04Ox_b17280.2","AT2G35120","Chir04Ox-b17280.2"
"Peak11186","Chr1",8399370,8399867,"+",0,NA,"promoter-TSS",NA,-23,"Chir01Ox_b23400.2_T002","Chir01Ox_b23400.2","AT1G23560","Chir01Ox-b23400.2"
"Peak11480","Chr1",26821523,26822645,"+",0,NA,"TTS",NA,1133,"Chir01Ox_b42810.2_T001","Chir01Ox_b42810.2","AT1G53903","Chir01Ox-b42810.2"
"Peak11511","Chr5",5192155,5192899,"+",0,NA,"exon",NA,1572,"Chir05Ox_b06790.2_T001","Chir05Ox_b06790.2","AT3G28860","Chir05Ox-b06790.2"
"Peak11599","Chr5",21222805,21223598,"+",0,NA,"Intergenic",NA,-3001,"Chir05Ox_b20810.2_T001","Chir05Ox_b20810.2","AT3G55240","Chir05Ox-b20810.2"
"Peak11614","Chr5",18076633,18077320,"+",0,NA,"Intergenic",NA,-3084,"Chir05Ox_b14200.2_T001","Chir05Ox_b14200.2","AT3G49220","Chir05Ox-b14200.2"
"Peak12207","Chr6",15255508,15255947,"+",0,NA,"promoter-TSS",NA,-1629,"Chir06Ox_b11590.2_T001","Chir06Ox_b11590.2","AT5G28490","Chir06Ox-b11590.2"
"Peak12240","Chr5",19417121,19417660,"+",0,NA,"promoter-TSS",NA,-924,"Chir05Ox_b16230.2_T001","Chir05Ox_b16230.2","AT3G50870","Chir05Ox-b16230.2"
"Peak12255","Chr1",7012365,7013007,"+",0,NA,"promoter-TSS",NA,-256,"Chir01Ox_b19910.2_T001","Chir01Ox_b19910.2","AT1G20010","Chir01Ox-b19910.2"
"Peak12268","Chr3",10062006,10062682,"+",0,NA,"promoter-TSS",NA,-17,"Chir03Ox_b25200.2_T001","Chir03Ox_b25200.2","AT3G24770","Chir03Ox-b25200.2"
"Peak12377","Chr6",18355641,18356129,"+",0,NA,"promoter-TSS",NA,-141,"Chir06Ox_b17160.2_T001","Chir06Ox_b17160.2","AT5G22580","Chir06Ox-b17160.2"
"Peak12439","Chr8",19196266,19196639,"+",0,NA,"Intergenic",NA,-3270,"Chir08Ox_b28310.2_T001","Chir08Ox_b28310.2","AT5G65640","Chir08Ox-b28310.2"
"Peak12495","Chr1",4830241,4830598,"+",0,NA,"TTS",NA,3144,"Chir01Ox_b13690.2_T001","Chir01Ox_b13690.2","AT1G13710","Chir01Ox-b13690.2"
"Peak12512","Chr1",26820736,26821046,"+",0,NA,"promoter-TSS",NA,-60,"Chir01Ox_b42810.2_T001","Chir01Ox_b42810.2","AT1G53903","Chir01Ox-b42810.2"
"Peak12606","Chr6",16928663,16928983,"+",0,NA,"promoter-TSS",NA,-2278,"Chir06Ox_b14320.2_T001","Chir06Ox_b14320.2","AT5G25460","Chir06Ox-b14320.2"
"Peak12676","Chr8",17525623,17526111,"+",0,NA,"TTS",NA,1479,"Chir08Ox_b23810.2_T002","Chir08Ox_b23810.2","AT5G61290","Chir08Ox-b23810.2"
"Peak12708","Chr1",26448257,26449063,"+",0,NA,"TTS",NA,2576,"Chir01Ox_b42060.2_T001","Chir01Ox_b42060.2","AT1G53180","Chir01Ox-b42060.2"
